doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1016/j.landurbplan.2013.12.008,"Feyisa, Dons & Meilby 2014",thermal_surface,6.72,degC,measured,"maximum park cooling intensity across 21 parks, Landsat ETM+ LST, Addis Ababa",primary abstract
10.1016/j.landurbplan.2015.06.005,Gillner et al. 2015,thermal_air,2.22,degC,measured,"up to (species means 0.77-2.22 K), daytime below crown vs open; asphalt surface cooling 5.5-15.2 K",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.renene.2007.03.022,Spala et al. 2008,energy,40,percent,modeled,approx. 40% summer cooling load reduction for office building with green roof (dynamic simulation),primary abstract
10.1016/j.renene.2009.12.021,Tsiros 2010,thermal_air,2.2,degC,measured,"max cooling at 17:00 during heatwave (mean ranges 0.5-1.6 at 14:00, 0.4-2.2 at 17:00)",primary abstract
10.1016/j.renene.2009.12.021,Tsiros 2010,energy,8.6,percent,modeled,"up to (2.6-8.6%) daytime AC consumption reduction, simplified estimate",primary abstract
10.1016/j.renene.2020.01.085,"Bevilacqua, Bruno & Arcuri 2020",energy,34.9,percent,modeled,"annual cooling energy saving, non-insulated green roof, continuous AC operation (validated TRNSYS)",primary abstract
10.1016/j.scitotenv.2011.12.002,Hagler et al. 2012,none,,,,vegetation-barrier effect on ultrafine particles variable/uncertain in abstract; only solid noise wall showed ~50% reduction,primary abstract
10.1016/j.scitotenv.2012.10.101,Salmond et al. 2013,pollutant_other,49.3,percent,measured,"NO2 leaf-on vs leaf-off season, street canyon site 1 (14.0 vs 7.1 ppb; seasonally confounded)",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.scitotenv.2014.06.048,"Doick, Peace & Hutchings 2014",thermal_air,1.1,degC,measured,"average summer nighttime cooling (max 4.0 degC), Kensington Gardens, London",Aram 2019 Heliyon review text
10.1016/j.scitotenv.2016.02.035,Lin et al. 2016,pollutant_other,63.6,percent,measured,"up to (37.7-63.6%) UFP reduction behind roadside vegetation barrier, full foliage (CO 23.6-56.1%)",primary abstract
10.1016/j.scitotenv.2017.11.327,"Yan, Wu & Dong 2018",thermal_air,2.8,degC,measured,"23:00 summer mean, park vs surrounding streets (site means 0.6-2.8; max 4.8 at midnight)",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.scitotenv.2018.12.262,Ozdemir 2019,pm25,17,percent,measured,"thick roadside cypress tree row vs no trees, dense-traffic roadside, Istanbul",primary abstract
10.1016/j.uclim.2013.01.001,Speak et al. 2013,thermal_air,0.88,degC,measured,summer mean above intensive green roof vs bare rooftop (annual mean 0.43) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.uclim.2015.02.001,Fantozzi et al. 2015,o3,14.5,percent,measured,"under holm oak stand vs open field at 1 m from road, July (winter 32%); NO2 higher under canopy",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.ufug.2009.10.002,Hamada & Ohta 2010,thermal_air,1.17,degC,measured,mean park vs urban difference (m-a); Aram: up to 1.9 summer,Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1016/j.ufug.2011.10.001,Jim & Peng 2012,thermal_surface,8.1,degC,measured,42-day summer mean: surface under green roof vs bare concrete roof,Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.ufug.2013.03.002,"Vailshery, Jaganmohan & Nagendra 2013",thermal_air,3.0,degC,measured,"midday median, street segments with trees vs without (abstract: up to 5.6 afternoon)",Knight 2021 Additional file 5 (outcome data tables)
10.1016/j.ufug.2013.03.002,"Vailshery, Jaganmohan & Nagendra 2013",pollutant_other,65,percent,measured,"up to; SO2 reduction, treed vs treeless road segments, Bangalore",primary abstract
10.1016/j.ufug.2015.11.013,"Razzaghmanesh, Beecham & Salemi 2016",none,,,,"abstract qualitative (significant summer cooling, winter insulation); numeric values not accessible",primary abstract
10.1016/j.ufug.2016.02.008,Vaz Monteiro et al. 2016,thermal_air,1.0,degC,measured,"up to; nocturnal cooling by largest greenspaces (~12 ha) extending 180-330 m, London",Aram 2019 Heliyon review text
10.1016/j.ufug.2016.09.001,"Linden, Fonti & Esper 2016",thermal_air,0.9,degC,measured,"daytime median, park vs courtyard (night 1.0; park vs garden 0.6 day), 91 summer days",Knight 2021 Additional file 5 (outcome data tables)
10.1016/s0360-1323(02)00066-5,Wong et al. 2003,thermal_air,4.2,degC,measured,maximum air temp difference above green roof plants vs hard surface (300 mm height),Knight 2021 Additional file 5 (outcome data tables)
10.1016/s0360-1323(02)00066-5,Wong et al. 2003,thermal_surface,21.0,degC,measured,maximum surface temp: bare hard surface 57 vs under rooftop plants 36,Knight 2021 Additional file 5 (outcome data tables)
10.1016/s0378-7788(01)00062-7,Niachou et al. 2001,energy,48,percent,modeled,up to (range <2-48%) cooling load reduction depending on existing roof insulation,primary abstract
10.1016/s0378-7788(98)00032-2,"Ca, Asaeda & Abu 1998",thermal_air,1.72,degC,measured,"park vs urban surroundings, summer (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.1021/es404363m,Maher 2013,pm10,50,percent,measured,more than 50% indoor PM10 reduction behind temporary curbside birch tree line,primary abstract
10.1038/srep33708,Edmondson et al. 2016,thermal_surface,3.1,degC,measured,overall mean soil temperature: non-domestic greenspace under trees/shrubs vs herbaceous (max monthly diff 5.7),Knight 2021 Additional file 5 (outcome data tables)
10.1080/014311698214884,Spronken-Smith & Oke 1998,thermal_air,2.5,degC,measured,"daily mean park cool island, grass+tree parks, Vancouver (max 5.1 at night)",Knight 2021 Additional file 5 (outcome data tables)
10.1155/2015/747259,Jänicke et al. 2014,thermal_air,2.0,degC,measured,mean radiant temperature (Tmrt) reduction in front of greened vs bare facade; air temp effect small,Knight 2021 Additional file 5 (outcome data tables)
10.2134/jeq2015.01.0049,Sugawara et al. 2016,thermal_air,2.06,degC,measured,"sunny days (cloudy 0.06), large green space vs urban surroundings (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
10.3390/atmos9090332,Qiu et al. 2018,none,,,,abstract: no significant PM2.5/PM10 concentration difference vs control site,primary abstract
10.3390/en13051246,Peñalvo López et al. 2020,energy,30,percent,measured,"summer-day cooling demand reduction, monitored building with green roof+facade (winter heating ~15%)",primary abstract
10.3390/en6020598,Peng_Jim_2013,thermal_air,1.7,degC,modeled,"up to; pedestrian-level cooling, intensive green roof scenarios (extensive 0.4-0.7), ENVI-met, Hong Kong",primary abstract
10.3390/ijerph16081465,Qiu et al. 2019,none,,,,abstract qualitative; no numeric pollutant reduction reported,primary abstract
10.3390/ijerph18189705,Yang & Chen 2021,none,,,,abstract reports correlations only (PM2.5 positively correlated with green coverage); no reduction effect,primary abstract
10.3390/su9081379,Anjos & Lopes 2017,thermal_air,1.31,degC,measured,cool season park cool island (hot season 0.84) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
