author_year,title,journal,doi,city,country,outcome,design,source_review
Hirst_Goeltz_1985,Comparison of actual energy savings with audit predictions for homes in the north central region of the U.S.A.,Building and Environment,10.1016/0360-1323(85)90024-1,north-central US (region),USA,actual savings below audit predictions,measured vs predicted pre/post billing comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
Hirst_Goeltz_Trumble_1989,Effects of the Hood River Conservation Project on electricity use,Energy and Buildings,10.1016/0378-7788(89)90014-5,Hood River OR,USA,measured electricity savings; previously retrofitted homes saved ~1000 kWh less than first-time retrofitters,pre/post metered analysis of community-wide retrofit project,Giandomenico et al. 2022 Annu Rev Resour Econ
Hirst_White_Goeltz_McKinstry_1985,Actual electricity savings and audit predictions for residential retrofit in the Pacific Northwest,Energy and Buildings,10.1016/0378-7788(85)90018-0,Pacific Northwest (region),USA,actual savings below audit predictions; +0.32 kWh/yr saving per 1 kWh/yr higher baseline use,pre/post metered analysis (BPA pilot),Giandomenico et al. 2022 Annu Rev Resour Econ
Lee_Englin_1989,Using a model and empirical data to analyze manufactured home conservation retrofits,Energy and Buildings,10.1016/0378-7788(89)90019-4,not specified,USA,measured savings of manufactured-home conservation retrofits; insulation among higher-saving measures,empirical billing data with model comparison,Giandomenico et al. 2022 Annu Rev Resour Econ
Liang_2018,Do energy retrofits work? Evidence from commercial and residential buildings in Phoenix,Journal of Environmental Economics and Management,10.1016/j.jeem.2017.09.001,Phoenix AZ,USA,measured energy savings in retrofitted commercial and residential buildings; insulation/thermostats most effective,panel econometric analysis of metered consumption,Giandomenico et al. 2022 Annu Rev Resour Econ
Tonn_Rose_Hawkins_2018,Evaluation of the U.S. Department of Energy's weatherization assistance program: impact results,Energy Policy,10.1016/j.enpol.2018.03.051,national,USA,measured billing savings from national WAP impact evaluation,quasi-experimental billing analysis,Giandomenico et al. 2022 Annu Rev Resour Econ
Cohen_Goldman_Harris_1991,Energy savings and economics of retrofitting single-family buildings,Energy and Buildings,10.1016/0378-7788(91)90012-r,multiple,USA,measured annual savings of 12-21% from loft and wall insulation,before/after billing comparison,Adan & Fuerst 2016 Energy Efficiency reference list (10.1007/s12053-015-9418-3)
Hong_Oreszczyn_Ridley_2006,The impact of energy efficient refurbishment on the space heating fuel consumption in English dwellings,Energy and Buildings,10.1016/j.enbuild.2006.01.007,five urban areas,UK,space-heating fuel use -10% (centrally heated) and -17% (non-central) after cavity/loft insulation; new gas central heating gave no net reduction,monitored field study of 1372 households (Warm Front) pre/post,Adan & Fuerst 2016 Energy Efficiency reference list; corroborated by fetched ScienceDirect abstract
Wyatt_2013,A dwelling-level investigation into the physical and socio-economic drivers of domestic energy consumption in England,Energy Policy,10.1016/j.enpol.2013.05.037,national (England),UK,median measured gas savings 13.5-19.5% for cavity wall insulation/condensing boiler; 8.4-12.2% for loft insulation,annualized metered consumption analysis (HEED/NEED),Adan & Fuerst 2016 Energy Efficiency reference list
Hamilton_2013,Energy efficiency in the British housing stock: energy demand and the homes energy efficiency database,Energy Policy,10.1016/j.enpol.2013.04.004,national (GB),UK,measured demand reductions following loft/cavity insulation double glazing and efficient boilers,dwelling-level metered consumption analysis (HEED),Adan & Fuerst 2016 Energy Efficiency reference list
Adan_Fuerst_2016,Do energy efficiency measures really reduce household energy consumption? A difference-in-difference analysis,Energy Efficiency,10.1007/s12053-015-9418-3,national (England and Wales),UK,gas use -10.5% after cavity wall insulation alone; -13.3% for cavity wall insulation plus new boiler,difference-in-difference on metered gas/energy (NEED database),fetched full text directly (Springer)
Scheer_Clancy_NiHogain_2013,Quantification of energy savings from Ireland's home energy saving scheme: an ex post billing analysis,Energy Efficiency,10.1007/s12053-012-9164-8,national,Ireland,gas use -21% (~3664 kWh/yr) vs control group; ~36% below ex-ante engineering estimate,ex-post billing analysis with control group (difference-in-difference),Adan & Fuerst 2016 reference list; EPATEE Better Energy Homes case study (fetched)
Coyne_Denny_2021,Retrofit effectiveness: Evidence from a nationwide residential energy efficiency programme,Energy Policy,10.1016/j.enpol.2021.112576,national,Ireland,whole-home energy use -1091 kWh/yr on average; only external wall insulation high-efficiency boilers and solar heating gave significant reductions,ex-post billing analysis of 8572 homes with control groups,WCPP 2021 international retrofit programmes report (fetched)
Milne_Boardman_2000,Making cold homes warmer: the effect of energy efficiency improvements in low-income homes,Energy Policy,TBD,not specified,UK,measured effect of efficiency improvements in low-income homes; part of savings taken as warmth (comfort take-back),empirical analysis of measured consumption/temperature data,van den Brom et al. 2019 Energy & Buildings reference list
Haas_Biermayr_2000,The rebound effect for space heating: empirical evidence from Austria,Energy Policy,10.1016/s0301-4215(00)00023-9,not specified,Austria,measured space-heating consumption in retrofitted homes; empirical rebound effect estimated,pre/post empirical consumption analysis,van den Brom et al. 2019 Energy & Buildings reference list
vandenBrom_Meijer_Visscher_2019,Actual energy saving effects of thermal renovations in dwellings - longitudinal data analysis including building and occupant characteristics,Energy and Buildings,10.1016/j.enbuild.2018.10.025,national (social housing),Netherlands,~90000 renovated dwellings; 57% saved less than predicted; deep renovations gave highest absolute measured savings,longitudinal pre/post actual vs calculated consumption analysis,Sustainability 2024 16:7792 EPG-LCA review (10.3390/su16177792); full text fetched from TU Delft
Majcen_Itard_Visscher_2016,Actual heating energy savings in thermally renovated Dutch dwellings,Energy Policy,10.1016/j.enpol.2016.07.015,national,Netherlands,measured heating energy savings after label-improving renovations lower than predicted,pre/post billing analysis linked to energy label data,van den Brom et al. 2019 Energy & Buildings reference list
Majcen_Itard_Visscher_2013,Theoretical vs. actual energy consumption of labelled dwellings in the Netherlands: discrepancies and policy implications,Energy Policy,10.1016/j.enpol.2012.11.008,national,Netherlands,actual consumption of poorly labelled dwellings well below theoretical predictions (performance gap),cross-sectional measured vs calculated consumption (200k+ dwellings),Filippidou et al. 2019 Energy Efficiency reference list; also cited in Sustainability 2024 16:7792
Filippidou_Nieboer_Visscher_2019,Effectiveness of energy renovations: a reassessment based on actual consumption savings,Energy Efficiency,10.1007/s12053-018-9634-8,national (non-profit housing),Netherlands,actual consumption savings from renovation measures substantially below predicted savings,pre/post actual consumption analysis of renovated dwellings,cited in van den Brom et al. 2019 refs; full text fetched (Springer)
SunikkaBlank_Galvin_2012,Introducing the prebound effect: the gap between performance and actual energy consumption,Building Research & Information,10.1080/09613218.2012.690952,national (3400 dwellings),Germany,measured heating consumption ~30% below calculated EPR on average; gap grows with worse rating (prebound effect),cross-sectional measured vs calculated consumption,Sustainability 2024 16:7792 EPG-LCA review; also cited in van den Brom et al. 2019
Cali_Osterhage_Streblow_Muller_2016,Energy performance gap in refurbished German dwellings: lesson learned from a field test,Energy and Buildings,10.1016/j.enbuild.2016.05.020,not specified,Germany,monitored refurbished dwellings show substantial gap between design and measured consumption,monitored field test of refurbished dwellings (M&V),Sustainability 2024 16:7792 EPG-LCA review
Cozza_Chambers_Deb_Scartezzini_Schluter_Patel_2020,Do energy performance certificates allow reliable predictions of actual energy consumption and savings? Learning from the Swiss national database,Energy and Buildings,10.1016/j.enbuild.2020.110235,national,Switzerland,median energy saving gap of 37% across 1172 retrofitted buildings (measured vs EPC-predicted savings),pre/post measured vs predicted savings from national EPC database,Sustainability 2024 16:7792 EPG-LCA review
Khoury_Alameddine_Hollmuller_2017,Understanding and bridging the energy performance gap in building retrofit,Energy Procedia,10.1016/j.egypro.2017.07.348,Geneva,Switzerland,measured post-retrofit consumption above predictions; performance gap in retrofit buildings analyzed,monitored post-retrofit consumption analysis (M&V),Sustainability 2024 16:7792 EPG-LCA review
Hens_2010,Energy efficient retrofit of an end of the row house: confronting predictions with long-term measurements,Energy and Buildings,10.1016/j.enbuild.2010.05.030,not specified,Belgium,long-term measured post-retrofit consumption compared against predictions in retrofitted row house,long-term monitored single-building case study (M&V),Sustainability 2024 16:7792 EPG-LCA review
Hirst_Bronfman_Goeltz_Trimble_Lerman_Keating_1984,Evaluation of utility residential energy conservation programs: a Pacific Northwest example,Energy,10.1016/0360-5442(84)90107-5,Pacific Northwest (region),USA,measured electricity savings from utility residential conservation programs,program evaluation with metered consumption and self-selection controls,Giandomenico et al. 2022 Annu Rev Resour Econ
