doi,author_year,target_domain,effect_value,effect_unit,measurement,condition,source
10.1016/j.atmosenv.2015.09.064,Ferreira_2015,pm10,23,percent,measured,"annual average 2013 vs 2011 (before/after LEZ phase 2), Lisbon; reductions larger inside LEZ","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
10.1016/j.atmosenv.2015.09.064,Ferreira_2015,no2,12,percent,measured,"annual average 2013 vs 2011, Lisbon; inside-zone effect less clear than PM10","primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4"
10.1016/j.atmosenv.2024.120326,Morillas_2024,no2,37,percent,measured,"TROPOMI/Sentinel-5P NO2 column over central Madrid, Nov 2018 vs 2021, COVID-19 effects considered","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/j.envpol.2013.01.002,Qadir_2013,ec,0.6,ug_m3,measured,"traffic-factor EC in PM2.5 fell from 1.1 to 0.5 ug/m3 (traffic source contribution -60%), Munich 2006/07 vs 2009/10","primary abstract fetched via PubMed"
10.1016/j.envpol.2019.01.040,Font_2019,no2,6,percent,measured,"up to; roadside decline of ~5-6% per year from 2010, Paris and London monitoring trend 2005-2016; general trend, not LEZ-specific attribution","primary abstract via PubMed; ETRR review Annex 4"
10.1016/j.envpol.2019.01.040,Font_2019,pm10,8,percent,measured,"up to; 5-8% decline, roadside trend analysis 2005-2016","Delgado-Lindeman 2025 ETRR review Annex 4"
10.1016/j.envpol.2019.01.040,Font_2019,pm25,11,percent,measured,"Paris only; London roadside PM2.5 not significant","Delgado-Lindeman 2025 ETRR review Annex 4"
10.1016/j.jeem.2017.02.003,Gehrsitz_2017,pm10,0.6,ug_m3,measured,"mean daily PM10, DiD estimate, 2.1% of 2005 baseline, p<0.05; 44 LEZ cities vs 38 controls","Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2)"
10.1016/j.jeem.2021.102512,Pestel_Wozny_2021,pm10,1.3,ug_m3,measured,"annual mean, 6% from baseline, p<0.01, DiD on German monitoring data 2006-2016","Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2)"
10.1016/j.jeem.2021.102512,Pestel_Wozny_2021,no2,1.6,ug_m3,measured,"annual mean, 5% from baseline, p<0.01, DiD on German monitoring data 2006-2016","Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2)"
10.1016/j.jenvman.2021.114048,Gu_2022,pm10,24,percent,measured,"up to; range 2-17% Berlin and 4-24% Munich depending on site category and LEZ stage (GAM); NO2 not significant or <3%","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/j.jenvman.2021.114048,Gu_2022,ec,16,percent,measured,"up to; range 6-16% Berlin by site category and LEZ stage; total carbon 7-11%","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/j.jhazmat.2018.11.061,Santos_2019,pm10,29,percent,measured,"Zone 1 annual average, 2009-2016 (Zone 2: -23%), Lisbon; ANOVA on station data","primary abstract fetched via PubMed"
10.1016/j.jhazmat.2018.11.061,Santos_2019,no2,12,percent,measured,"Zone 1 annual average, 2009-2016 (Zone 2: -22%), Lisbon; PM2.5 and NOx not significant","primary abstract fetched via PubMed"
10.1016/j.jpubeco.2023.105014,Sarmiento_2023,pm10,1.9,ug_m3,measured,"annual mean, p<0.01, staggered DiD, German cities (ETRR review reports 5.6-9.5%)","Lancet Public Health 2023 review; Delgado-Lindeman 2025 ETRR review Table 7"
10.1016/j.jpubeco.2023.105014,Sarmiento_2023,no2,3.5,ug_m3,measured,"annual mean, p<0.01, staggered DiD, German cities (ETRR review reports 8.5-14%)","Lancet Public Health 2023 review; Delgado-Lindeman 2025 ETRR review Table 7"
10.1016/j.scitotenv.2012.06.089,Boogaard_2012,pm25,30,percent,measured,"urban streets (urban background 27%) vs 20% at suburban control sites, 2 years post; LEZ alone gave no significant change in traffic-related pollutants","primary abstract fetched via PubMed"
10.1016/j.scitotenv.2012.06.089,Boogaard_2012,bc,41,percent,measured,"'soot' at one urban street with 50% traffic reduction (LEZ + other policies) vs 22% at suburban control","primary abstract fetched via PubMed"
10.1016/j.scitotenv.2012.06.089,Boogaard_2012,nox,36,percent,measured,"same combined-policy street vs 14% at suburban control","primary abstract fetched via PubMed"
10.1016/j.scitotenv.2012.06.089,Boogaard_2012,no2,25,percent,measured,"same combined-policy street vs 7% at suburban control","primary abstract fetched via PubMed"
10.1016/j.tra.2015.04.029,Malina_Scheffler_2015,pm10,19,percent,measured,"25 German cities, before/after monitoring regression with meteorological controls","Delgado-Lindeman 2025 ETRR review Annex 1 (10.1186/s12544-025-00749-2)"
10.1016/j.trd.2013.03.010,Ellison_2013,pm10,3.07,percent,measured,"up to; particulate matter concentrations inside LEZ fell 2.46-3.07% vs just over 1% outside, 5 years post; no discernible NOx effect","primary abstract fetched via colab.ws DOI record"
10.1016/j.trd.2020.102689,Salas_2021,no2,11,ug_m3,measured,"about 11 ug/m3 (23-34%) at Madrid LEZ monitoring station, DiD; stations outside fell only 1.8 ug/m3","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1016/S2468-2667(18)30202-0,Mudway_2019,no2,1.35,ug_m3,modeled,"roadside median decline per year, 2009-2013, central London (background -0.97/yr); PM10 not reduced, PM2.5 equivocal; exposures from dispersion modelling","primary abstract fetched via PubMed"
10.1080/10962247.2013.868380,Cyrys_2014,pm10,10,percent,modeled,"up to; dispersion-model estimate for German LEZs; ex-post analyses for Cologne/Berlin/Munich found reductions in the estimated range","primary abstract fetched via PubMed"
10.1080/10962247.2013.868380,Cyrys_2014,bc,52,percent,measured,"traffic-related soot along Berlin major roads, 2010 vs 2007","primary abstract fetched via PubMed"
10.1088/1748-9326/ac30c1,Ma_2021,no2,3,percent,measured,"up to; London average post-ULEZ (RDiT); station-level range -9% to +6%; PM2.5 negligible","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1088/1748-9326/ac30c1,Ma_2021,nox,3,percent,measured,"up to; London average post-ULEZ; station-level range -12% to +1%","Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)"
10.1136/oem.2007.036533,Tonne_2008,none,,,,"no zone-specific concentration delta in abstract: reports pre-CCS levels (zone NO2 54.7, PM10 30.3 ug/m3) and states reductions were greater in charging-zone wards (emission-dispersion modelled), but gives no numeric change","primary abstract fetched via Crossref"
10.1136/oem.2010.063750,Cesaroni_2012,no2,4.13,ug_m3,modeled,"additional decrease in LEZ ring 1 (ring 2: -2.99 ug/m3) beyond citywide trend, Rome 2001-2005, full-chain evaluation","primary abstract fetched via Crossref"
10.1136/oem.2010.063750,Cesaroni_2012,pm10,0.70,ug_m3,modeled,"additional decrease in LEZ ring 1 (ring 2: -0.47 ug/m3) beyond citywide trend, Rome 2001-2005, full-chain evaluation","primary abstract fetched via Crossref"
10.1371/journal.pone.0102999,Morfeld_2014,no2,4,percent,measured,"at most (about -2 ug/m3); inside vs outside zones, 17 German cities, fixed-effects regression on matched quadruplets","primary abstract fetched via PubMed"
10.1371/journal.pone.0102999,Morfeld_2014,nox,4,percent,measured,"at most (about -2 ug/m3); inside vs outside zones, 17 German cities","primary abstract fetched via PubMed"
10.1515/noise-2020-0015,Silvaggio_2020,no2,3,percent,measured,"small reduction inside Monza noise-LEZ (small +5% increase outside); PM10 not significant; passive samplers with GAM; primary abstract calls air-quality effect negligible without figures","Delgado-Lindeman 2025 ETRR review Annex 4; primary abstract via Crossref"
10.3368/jhr.56.4.0218-9363r2,Simeonova_2021,pm10,4.6,ug_m3,measured,"monthly average, 13.7% from baseline, p<0.001, Stockholm congestion-charge zone, DiD vs other Swedish city centres","Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2)"
10.3368/jhr.56.4.0218-9363r2,Simeonova_2021,no2,6.2,ug_m3,measured,"monthly average, 18.7% from baseline, p<0.001, Stockholm congestion-charge zone","Lancet Public Health 2023 review (10.1016/S2468-2667(23)00120-2)"
10.3390/ijerph110505094,Fensterer_2014,pm10,13,percent,measured,"busy-road monitoring site, Munich (19.6% summer, 6.8% winter); urban background site -4.5%; semiparametric regression vs reference site","primary abstract fetched via PubMed"
10.3390/smartcities3020025,Lebrusan_Toutouh_2020,no2,38,percent,measured,"up to; range 14-38% by station/season (38% spring, 14% summer, none winter), Madrid Central, 22 sensors, Mann-Whitney tests","Delgado-Lindeman 2025 ETRR review Annex 4; primary abstract confirms significant reduction"
10.3390/smartcities3020025,Lebrusan_Toutouh_2020,pm25,8,percent,measured,"up to; range 0-8% across analysed areas, Madrid Central","Delgado-Lindeman 2025 ETRR review Annex 4"
10.3390/smartcities3020025,Lebrusan_Toutouh_2020,pm10,4,percent,measured,"up to; range 0-4% across analysed areas, Madrid Central","Delgado-Lindeman 2025 ETRR review Annex 4"
