record_id,doi,author_year,intervention,climate_group,subset,domain,subtype,pollutant,effect_value,unit,measurement,n_source_rows,condition,source
B015,10.1016/0360-5442(88)90085-0,Goldman_Greely_Harris_1988,retrofit,multi_region,fine_tuning,energy,retrofit_program,,15,percent,measured,1,"median savings ~14-16% of pre-retrofit consumption (midpoint 15 reported): 1450 kWh/unit in electric-heat and 14 MBtu/unit in fuel-heat US multifamily buildings (BECA database, >25000 units)",publisher abstract via RePEc/IDEAS (fetched)
B016,10.1016/0360-5442(95)00027-e,Brown_Berry_1995,retrofit,multi_region,fine_tuning,energy,retrofit_program,,13,percent,measured,1,"natural-gas-heated dwellings: -13.0% of total gas consumption (= 18.3% of space-heating consumption; 17.3 MBtu/yr per dwelling), 1989 national WAP evaluation","ORNL metaevaluation report quoting the National Evaluation (OSTI, doi:10.2172/548845, fetched)"
B017,10.1016/0378-7788(85)90018-0,Hirst_White_Goeltz_McKinstry_1985,retrofit,oceanic,fine_tuning,energy,retrofit_program,,12.7,percent,measured,1,BPA pilot program-level weighted electricity savings 12.7%; actual savings below audit predictions; +0.32 kWh/yr extra saving per 1 kWh/yr higher pre-program use; pilot realization rate 66%,Giandomenico working paper Tables 3 and 6 plus review text (fetched)
B018,10.1016/0378-7788(85)90022-2,Goldman_1985,retrofit,multi_region,validation,energy,retrofit_program,,24,percent,measured,1,"BECA-B compilation median space-heat savings as % of pre-retrofit space heating: 24% utility-sponsored programs, 22% low-income weatherization, 22% research studies, 22% multifamily buildings","ACEEE 1984 BECA-B conference paper PDF (fetched, aceee.org); companion ASHRAE record: savings typically 20-30% of pre-retrofit space heating (OSTI 6971021, fetched)"
B021,10.1016/0378-7788(86)90010-1,Goldman_Ritschard_1986,retrofit,mediterranean,validation,energy,retrofit_program,,8,percent,measured,1,San Francisco Housing Authority public-housing retrofit: program-level weighted gas savings 8% (n=1822 units),Giandomenico working paper Table 3 (fetched)
B022,10.1016/0378-7788(89)90014-5,Hirst_Goeltz_Trumble_1989,retrofit,continental,fine_tuning,energy,retrofit_program,,14,percent,measured,1,electricity -2600 kWh/yr = 14% of pre-HRCP consumption (1982/83 vs 1985/86); electrically-heated single-family homes saved 4000-4500 kWh/yr; savings less than half of audit predictions; ~1/5 of savings lost to takeback,ScienceDirect abstract (fetched via search) + OSTI report doi:10.2172/6880640 (fetched)
B025,10.1016/0378-7788(90)90021-a,Jauregui 1991,greening,tropical_semiarid,fine_tuning,thermal,park,,3,degC,measured,1,"up to (reported range 2-3 degC); nocturnal traverses, clear calm nights, park vs boundaries",primary abstract
B026,10.1016/0378-7788(91)90012-r,Cohen_Goldman_Harris_1991,retrofit,multi_region,validation,energy,retrofit_program,,16.5,percent,measured,1,annual consumption savings 12-21% (midpoint 16.5 reported) from loft and wall insulation; simple before/after billing comparison without control group,Adan & Fuerst 2016 Springer full text quoting Cohen et al. 1991 (fetched)
B028,10.1016/j.apr.2021.01.017,Jia et al. 2021,greening,subtropical,fine_tuning,air_quality,barrier,pollutant_other,6,percent,measured,1,PM reduction near residential buildings behind roadside GI (BC 8%); pathway concentrations increased 20-28%,primary abstract
B029,10.1016/j.apr.2022.101514,Hajmohammadi_2022,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,no2,11,percent,measured,1,"inside ULEZ, 11 months post vs 12 months pre; state-space model of 28 monitoring stations",Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)
B031,10.1016/j.atmosenv.2008.09.015,Johansson_2009,low_emission_zone,continental,validation,air_quality,lez_zone,pm10,7,percent,modeled,1,"up to; annual mean along most densely trafficked streets, permanent congestion-tax scenario; zone PM10 emissions -13%","primary abstract (Atmos Environ 43:4843), fetched via ADS/ScienceDirect"
B032,10.1016/j.atmosenv.2011.04.008,Invernizzi_2011,low_emission_zone,mediterranean,validation,air_quality,lez_zone,bc,47,percent,measured,1,"BC/PM10 ratio, Ecopass zone vs no-restriction zone, 3-day fixed-station campaign; PM10/PM2.5/PM1 mass differences not significant",primary abstract fetched via colab.ws DOI record
B034,10.1016/j.atmosenv.2013.12.035,Panteliadis_2014,low_emission_zone,oceanic,validation,air_quality,lez_zone,pm10,5.8,percent,measured,1,"traffic contribution at roadside site, Amsterdam LEZ (95% CI 3.3-8.4)",primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4
B035,10.1016/j.atmosenv.2015.09.064,Ferreira_2015,low_emission_zone,mediterranean,validation,air_quality,lez_zone,pm10,23,percent,measured,1,"annual average 2013 vs 2011 (before/after LEZ phase 2), Lisbon; reductions larger inside LEZ",primary abstract fetched via colab.ws DOI record; also ETRR review Annex 4
B036,10.1016/j.atmosenv.2018.12.036,Abhijith & Kumar 2019,greening,oceanic,fine_tuning,air_quality,park,pm25,17,percent,measured,1,"up to; behind GI, cross-road winds (max relative change lowest for PM2.5)",primary abstract
B037,10.1016/j.atmosenv.2021.118189,Donateo et al. 2021,greening,mediterranean,fine_tuning,air_quality,street_trees,pm25,20,percent,measured,1,"up to (15-20%); CityTree moss filter, active mode, close proximity",primary abstract
B038,10.1016/j.atmosenv.2024.120326,Morillas_2024,low_emission_zone,mediterranean,validation,air_quality,lez_zone,no2,37,percent,measured,1,"TROPOMI/Sentinel-5P NO2 column over central Madrid, Nov 2018 vs 2021, COVID-19 effects considered",Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)
B039,10.1016/j.buildenv.2005.07.030,"Hien, Yok & Yu 2007",greening,tropical_semiarid,validation,thermal,green_roof,,1.46,degC,measured,1,"rooftop garden site vs comparator, Figs 15/20 (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B040,10.1016/j.buildenv.2006.06.005,Levinson_2007,cool_roof,continental,fine_tuning,energy,cool_roof_coating,,5,percent,modeled,1,"annual cooling energy saving for typical 139 m2 house, Fresno (6% San Bernardino, 1% San Diego), estimated from scale-model + energy data","LBNL/OSTI abstract of primary study, fetched via web search"
B040,10.1016/j.buildenv.2006.06.005,Levinson_2007,cool_roof,continental,fine_tuning,thermal,cool_roof_coating,,6.2,degC,measured,1,"attic air temperature reduction, same scale-model conditions","LBNL/OSTI abstract of primary study, fetched via web search"
B040,10.1016/j.buildenv.2006.06.005,Levinson_2007,cool_roof,continental,fine_tuning,thermal_surface,cool_roof_coating,,12,degC,measured,1,"roof tile surface temp reduction for 0.3 solar absorptance decrease, 1 kW/m2 summer afternoon insolation, scale-model measurements","LBNL/OSTI abstract of primary study, fetched via web search"
B041,10.1016/j.buildenv.2006.06.017,Takebayashi & Moriyama 2007,greening,subtropical,fine_tuning,thermal_surface,green_roof,,3.04,degC,measured,1,"green roof vs concrete roof, surface heat budget study (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B042,10.1016/j.buildenv.2009.12.003,Georgi & Dimitriou 2010,greening,mediterranean,fine_tuning,thermal,park,,2.56,degC,measured,1,"green vs built-up sites, Thessaloniki (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B043,10.1016/j.buildenv.2010.03.001,Fioretti et al. 2010,greening,mediterranean,fine_tuning,thermal_surface,green_roof,,7.26,degC,measured,1,August monthly mean: concrete roof surface vs green roof substrate,Knight 2021 Additional file 5 (outcome data tables)
B044,10.1016/j.buildenv.2010.06.014,Synnefa_2011,cool_roof,mediterranean,validation,thermal,cool_pavement,,5,degC,modeled,1,"average air temp decrease if conventional road asphalt replaced, CFD simulation, low wind speed",primary abstract (ScienceDirect page via web search)
B044,10.1016/j.buildenv.2010.06.014,Synnefa_2011,cool_roof,mediterranean,validation,thermal_surface,cool_pavement,,12,degC,measured,1,"max surface temp difference, off-white thin-layer asphalt vs conventional black asphalt, outdoor summer testing Athens",primary abstract (ScienceDirect page via web search)
B045,10.1016/j.buildenv.2011.04.034,"Oliveira, Andrade & Vaz 2011",greening,mediterranean,fine_tuning,thermal,street_trees,,2.18,degC,measured,1,"garden vs surrounding streets, summer daytime (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B046,10.1016/j.buildenv.2011.06.025,Mahmoud 2011,greening,mediterranean,validation,thermal,park,,4.7,degC,measured,1,"10-day daytime mean, trees/shrubs zone vs tree-lined paved road within park",Knight 2021 Additional file 5 (outcome data tables)
B047,10.1016/j.buildenv.2011.07.027,Chow & Brazel 2012,greening,mediterranean,validation,thermal,park,,2.5,degC,modeled,1,"microscale cooling, high-xeriscaping scenario in xeric residential area (local scale ~1.1); ENVI-met",primary abstract
B049,10.1016/j.buildenv.2011.08.011,Xu_2012,cool_roof,tropical_semiarid,fine_tuning,energy,cool_roof_coating,,20,percent,measured,1,"annual AC energy use reduction, range 14-26% (= 20-22 kWh/m2/yr of coated roof area), monitored commercial building Hyderabad","Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001) full text, fetched"
B050,10.1016/j.buildenv.2011.11.020,"Cohen, Potchter & Matzarakis 2012",greening,mediterranean,validation,thermal,park,,1.32,degC,measured,1,"summer, wooded park vs reference (winter 1.17) (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B051,10.1016/j.buildenv.2012.01.022,Santamouris_2012b,cool_roof,mediterranean,fine_tuning,thermal,cool_pavement,,1.9,degC,modeled,1,"peak ambient temp reduction on typical summer day, CFD-homogenized before/after comparison","primary full-text PDF (edulll repository), fetched via web search"
B051,10.1016/j.buildenv.2012.01.022,Santamouris_2012b,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,7.6,degC,measured,1,"max cool vs conventional pavement surface difference, 4 Aug campaign (5.4 K on 27 Jul); park surface reduced up to 12 K before/after, 4500 m2 Flisvos park","primary full-text PDF (edulll repository), fetched via web search"
B052,10.1016/j.buildenv.2012.11.004,Carnielo_2013,cool_roof,mediterranean,fine_tuning,energy,cool_pavement,,19,percent,modeled,1,"peak cooling demand reduction of typical Italian dwellings, TRNSYS, highest solar reflectance configuration",primary abstract (ScienceDirect page via web search)
B052,10.1016/j.buildenv.2012.11.004,Carnielo_2013,cool_roof,mediterranean,fine_tuning,thermal_surface,cool_pavement,,19.3,degC,measured,1,"max off-white cool coating vs conventional asphalt (grey 10.0 degC; off-white mean 8.2 degC), outdoor monitoring Rome","Carnielo & Zinzi data table in Wan et al. asphalt cooling review (J Traffic Transp Eng 2021), fetched"
B053,10.1016/j.buildenv.2014.03.003,Zhang et al. 2014,greening,continental,fine_tuning,energy,park,,60,percent,modeled,1,"citywide reduction in net cooling energy use attributable to green spaces, summer (empirical model)",primary abstract
B054,10.1016/j.buildenv.2015.06.002,Heusinger & Weber 2015,greening,oceanic,fine_tuning,thermal_surface,green_roof,,0.1,degC,measured,1,"extensive green roof vs bitumen roof, surface temperature (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B055,10.1016/j.buildenv.2016.10.021,Solcerova et al. 2017,greening,oceanic,fine_tuning,thermal,green_roof,,0.48,degC,measured,1,"daytime air above blue-green roof, cloudy days (clear 0.37); surface was warmer",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B056,10.1016/j.buildenv.2017.02.020,Yin et al. 2017,greening,subtropical,fine_tuning,thermal_surface,facade,,2.6,degC,measured,1,green facade vs bare wall (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B057,10.1016/j.buildenv.2018.05.033,Wang_2018,cool_roof,subtropical,validation,thermal,cool_pavement,,1,degC,measured,1,max air temp reduction above permeable pavement after sprinkling vs non-sprinkling,"primary abstract (Semantic Scholar), fetched"
B057,10.1016/j.buildenv.2018.05.033,Wang_2018,cool_roof,subtropical,validation,thermal_surface,cool_pavement,,10,degC,measured,1,"max surface temp reduction of permeable brick and porous concrete after water sprinkling, 4-day field campaign Guangzhou","primary abstract (Semantic Scholar), fetched"
B058,10.1016/j.buildenv.2026.114550,Montero-Gutierrez_2026,combined,mediterranean,fine_tuning,thermal,mixed_measures,,15,degC,measured,1,occupied zone during extreme heat events (~40C ambient mitigated to ~29C); air-temperature reduction exceeding 15C; MRT reduced up to 8C,ScienceDirect abstract/highlights via OpenAlex
B059,10.1016/j.conbuildmat.2015.04.043,Zheng_2015,cool_roof,continental,fine_tuning,thermal_surface,cool_pavement,,10,degC,measured,1,"outdoor field cooling of best heat-reflective coating (scheme 5); lab specimens up to 30 degC, summer Xi'an","primary abstract (KB Artikelvinder), fetched via web search"
B060,10.1016/j.cscm.2016.01.001,Higashiyama_2016,cool_roof,subtropical,fine_tuning,thermal_surface,cool_pavement,,10,degC,measured,1,"water-retaining pavements >=10 degC cooler than porous asphalt exceeding 60 degC; best mixture ~20 degC, summer field sites Hyogo","primary abstract (Semantic Scholar), fetched"
B063,10.1016/j.enbuild.2004.11.013,Akbari_2005,cool_roof,mediterranean,fine_tuning,energy,cool_roof_coating,,38,percent,measured,1,"AC energy savings, monitored California commercial buildings, review table range 22-54% (midpoint reported; body cites 31-52% by conditioned area)","Rawat & Singh 2022 full text Table 1, fetched"
B065,10.1016/j.enbuild.2006.01.007,Hong_Oreszczyn_Ridley_2006,retrofit,oceanic,validation,energy,retrofit_program,,13.5,percent,measured,2,"space-heating fuel consumption -10% in centrally heated dwellings after cavity wall + loft insulation (Warm Front monitored field study, 1372 dwellings)",Adan & Fuerst 2016 Springer full text quoting Hong et al. 2006 (fetched)
B067,10.1016/j.enbuild.2011.07.011,Kolokotroni_2013,cool_roof,oceanic,fine_tuning,energy,cool_roof_coating,,8.5,percent,modeled,1,"max total energy saving (range 1-8.5%), validated TRNSYS model, optimum reflectivity 0.6-0.7","Rawat & Singh 2022 full text, fetched"
B067,10.1016/j.enbuild.2011.07.011,Kolokotroni_2013,cool_roof,oceanic,fine_tuning,thermal,cool_roof_coating,,1.7,degC,measured,1,"open office avg cooler during clear-sky high-solar periods after cool coating (albedo 0.1 to 0.6), London office","Aggarwal & Molleti 2024 full text, fetched"
B068,10.1016/j.enbuild.2011.07.017,Bozonnet_2011,cool_roof,oceanic,fine_tuning,thermal_surface,cool_roof_coating,,10,degC,measured,1,"roof surface temp reduction with cool selective coating, monitored French residential case study","Rawat & Singh 2022 full text Table 2, fetched"
B069,10.1016/j.enbuild.2011.07.023,Romeo_2013,cool_roof,mediterranean,validation,energy,cool_roof_coating,,54,percent,measured,1,"cooling energy demand reduction, two-phase pre/post monitoring + numerical analysis","Rawat & Singh 2022 full text, fetched"
B069,10.1016/j.enbuild.2011.07.023,Romeo_2013,cool_roof,mediterranean,validation,thermal,cool_roof_coating,,2.3,degC,measured,1,indoor operative temp reduction (review Table 1),"Rawat & Singh 2022 full text Table 1, fetched"
B069,10.1016/j.enbuild.2011.07.023,Romeo_2013,cool_roof,mediterranean,validation,thermal_surface,cool_roof_coating,,20,degC,measured,1,"roof surface temp reduction up to 20 degC over 24-h cycle, 700 m2 school roof Trapani, solar reflectance 0.859","Rawat & Singh 2022 full text, fetched"
B070,10.1016/j.enbuild.2011.09.011,Kolokotsa_2012,cool_roof,mediterranean,validation,energy,cool_roof_coating,,19.8,percent,modeled,1,"annual energy saving (peak summer 27%), TRNSYS model validated against pre/post monitoring, lab building Crete, roof albedo 0.89","Rawat & Singh 2022 full text, fetched"
B071,10.1016/j.enbuild.2011.09.018,Getter et al. 2011,greening,continental,validation,thermal,green_roof,,1.5,degC,measured,1,September monthly mean maximum air temp 1 m above green roof vs gravel roof,Knight 2021 Additional file 5 (outcome data tables)
B072,10.1016/j.enbuild.2012.01.044,Synnefa_2012,cool_roof,mediterranean,validation,energy,cool_roof_coating,,40,percent,modeled,1,annual cooling load reduction,"Rawat & Singh 2022 full text, fetched"
B072,10.1016/j.enbuild.2012.01.044,Synnefa_2012,cool_roof,mediterranean,validation,thermal,cool_roof_coating,,2.8,degC,modeled,1,"indoor air temp reduction, school building Athens, TRNSYS with roof reflectance 0.89 (validated against measurements)","Rawat & Singh 2022 full text, fetched"
B073,10.1016/j.enbuild.2013.10.031,Pisello_2014,cool_roof,mediterranean,validation,energy,cool_roof_coating,,24.3,percent,measured,1,"energy saving per review Table 1, residential cool clay tile roof","Rawat & Singh 2022 full text Table 1, fetched"
B073,10.1016/j.enbuild.2013.10.031,Pisello_2014,cool_roof,mediterranean,validation,thermal,cool_roof_coating,,4.7,degC,measured,1,"max summer peak attic overheating reduction, 2-year continuous monitoring, cool clay tile roof Perugia (winter overcooling penalty 1.2 degC)","Rawat & Singh 2022 full text, fetched"
B074,10.1016/j.enbuild.2015.04.055,"Karachaliou, Santamouris & Pangalou 2016",greening,mediterranean,validation,thermal_surface,green_roof,,14,degC,measured,1,dense-foliage green roof vs reference roof (less dense 8.2) (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B075,10.1016/j.enbuild.2015.06.043,Garg_2016,cool_roof,tropical_semiarid,fine_tuning,thermal,cool_roof_coating,,2,degC,measured,1,"avg indoor temp reduction up to 2.0 degC Hyderabad school (1.5 degC Nagpur; max 4.3/3.3 degC), unconditioned schools Mar-May 2014","Rawat & Singh 2022 full text, fetched"
B075,10.1016/j.enbuild.2015.06.043,Garg_2016,cool_roof,tropical_semiarid,fine_tuning,thermal_surface,cool_roof_coating,,5.5,degC,measured,1,roof under-deck surface reduction Hyderabad (4.0 degC Nagpur; over-deck 14.3/9.5 degC),"Rawat & Singh 2022 full text, fetched"
B076,10.1016/j.enbuild.2015.06.047,Hoelscher et al. 2016,greening,oceanic,fine_tuning,thermal_surface,facade,,3.16,degC,measured,1,"facade greening vs bare wall, Fig 5a (m-a)",Knight 2021 Additional file 2 (meta-analysis effect sizes)
B079,10.1016/j.enbuild.2016.09.056,El Bachawati et al. 2016,greening,mediterranean,validation,thermal_surface,green_roof,,9.74,degC,measured,1,"max recorded surface temp: traditional gravel roof 33.98 vs extensive green roof substrate 24.24, Lebanon",Cascone 2019 review summary (via web search)
B080,10.1016/j.enbuild.2016.10.056,Foustalieraki et al. 2017,greening,mediterranean,fine_tuning,thermal_surface,green_roof,,10.11,degC,measured,1,dense-foliage green roof vs reference roof (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B081,10.1016/j.enbuild.2017.03.036,Perini et al. 2017,greening,mediterranean,fine_tuning,thermal,facade,,5.2,degC,measured,1,July mean: air behind green facade vs outside,Knight 2021 Additional file 5 (outcome data tables)
B082,10.1016/j.enbuild.2017.05.052,Xu et al. 2017,greening,continental,fine_tuning,thermal,park,,12,degC,measured,1,"up to, at 12:00 summer; tree clusters vs open hard ground (site values 10.8-12.0)",Knight 2021 Additional file 5 (outcome data tables)
B083,10.1016/j.enbuild.2018.07.005,Kolokotroni_2018,cool_roof,tropical_semiarid,fine_tuning,thermal,cool_roof_coating,,2.3,degC,measured,1,"avg internal air temp reduction, same monitored house","primary abstract (Semantic Scholar), fetched"
B083,10.1016/j.enbuild.2018.07.005,Kolokotroni_2018,cool_roof,tropical_semiarid,fine_tuning,thermal_surface,cool_roof_coating,,6.8,degC,measured,1,"avg internal ceiling surface temp reduction after cool roof paint, monitored single-storey Jamaica house","primary abstract (Semantic Scholar), fetched"
B088,10.1016/j.enbuild.2021.111299,Takebayashi_2021,combined,subtropical,validation,thermal_surface,watered_pavement,,10,degC,measured,1,"roadway watering midday, effect lasted >=30 min; water surface feature ~15C and watered pavement ~10C; MRT -1.9C and SET* -0.8C for road watering",Elsevier abstract fetched via web search / ScienceDirect page
B089,10.1016/j.energy.2006.11.011,Santamouris et al. 2007,greening,mediterranean,fine_tuning,energy,green_roof,,49,percent,modeled,1,up to (range 6-49%) whole-building summer cooling load; top floor 12-87%,primary abstract
B090,10.1016/j.energy.2015.01.092,Zingre_2015b,cool_roof,tropical_semiarid,validation,energy,cool_roof_coating,,51,percent,measured,1,daily heat gain reduction (0.21 kWh/m2) from white coating on double-skin roof,"Rawat & Singh 2022 full text, fetched"
B090,10.1016/j.energy.2015.01.092,Zingre_2015b,cool_roof,tropical_semiarid,validation,thermal,cool_roof_coating,,2.4,degC,measured,1,peak indoor temp decrease,"Rawat & Singh 2022 full text, fetched"
B090,10.1016/j.energy.2015.01.092,Zingre_2015b,cool_roof,tropical_semiarid,validation,thermal_surface,cool_roof_coating,,15,degC,measured,1,"roof temp difference coated vs uncoated double-skin roof, paired naturally ventilated apartments Singapore","Rawat & Singh 2022 full text, fetched"
B092,10.1016/j.enpol.2013.04.004,Hamilton_2013,retrofit,oceanic,validation,energy,retrofit_program,,9.2,percent,measured,1,"gas demand change 2005-2007 net of control-group trend: cavity wall insulation -9.2 points, condensing boiler -8.0, loft insulation -1.3, double glazing -1.6 (HEED linked meter data, retrospective case-control)",ScienceDirect full text (fetched)
B093,10.1016/j.enpol.2013.05.037,Wyatt_2013,retrofit,oceanic,fine_tuning,energy,retrofit_program,,16.5,percent,measured,1,median realized gas savings 13.5-19.5% (midpoint 16.5 reported) for cavity wall insulation and new condensing boiler; loft insulation 8.4-12.2%; year after installation (HEED annualized meter data),Adan & Fuerst 2016 Springer full text quoting Wyatt 2013 (fetched)
B095,10.1016/j.enpol.2018.03.051,Tonn_Rose_Hawkins_2018,retrofit,multi_region,fine_tuning,energy,retrofit_program,,12.45,percent,measured,2,single-family gas-heated homes: natural gas -17.8% (net 181 therms/yr) post-weatherization; PY2008 national WAP evaluation underlying this paper,"ORNL companion evaluation reports TM-2014/338 and TM-2015/13 (fetched PDFs, weatherization.ornl.gov)"
B097,10.1016/j.envpol.2011.03.007,"Susca, Gaffin & Dell'Osso 2011",greening,subtropical,fine_tuning,thermal,green_roof,,2,degC,measured,1,average difference between most and least vegetated NYC monitoring areas,primary abstract
B098,10.1016/j.envpol.2011.03.009,Yin et al. 2011,greening,subtropical,validation,air_quality,park,pollutant_other,9.1,percent,measured,1,"TSP removal by park vegetation, summer, Pudong (SO2 5.3%, NO2 2.6%)",primary abstract
B099,10.1016/j.envpol.2012.11.010,Setala et al. 2013,greening,continental,fine_tuning,air_quality,park,pollutant_other,7,percent,measured,1,"NO2 reduction under tree canopies vs adjacent open areas, August in-leaf (p=0.085); TVOC 19.1%",Knight 2021 Additional file 5 (outcome data tables)
B101,10.1016/j.envpol.2014.02.026,Grundstrom & Pleijel 2014,greening,continental,validation,air_quality,park,o3,2,percent,measured,1,O3 mean in:out canopy ratio 0.98 (not significant),Knight 2021 Additional file 5 (outcome data tables)
B102,10.1016/j.envpol.2014.08.015,"Cohen, Potchter & Schnell 2014",greening,mediterranean,validation,air_quality,street_trees,pollutant_other,48.5,percent,measured,1,"NOx park vs surrounding streets, summer (winter 78%); O3 similar or slightly higher inside park",Knight 2021 Additional file 5 (outcome data tables)
B105,10.1016/j.envpol.2019.01.016,Gomez-Moreno et al. 2019,greening,mediterranean,fine_tuning,air_quality,park,pm25,50,percent,measured,1,"up to, 200 m into park vs traffic site, summer transects, Madrid",primary abstract
B106,10.1016/j.envpol.2019.01.040,Font_2019,low_emission_zone,oceanic,validation,air_quality,lez_zone,pm25,11,percent,measured,1,Paris only; London roadside PM2.5 not significant,Delgado-Lindeman 2025 ETRR review Annex 4
B107,10.1016/j.envpol.2020.114884,Abhijith & Kumar 2020,greening,oceanic,fine_tuning,air_quality,barrier,pollutant_other,9,percent,measured,1,up to (2-9%) PM reduction behind roadside hedge; PM1>PM10>PM2.5,primary abstract
B108,10.1016/j.habitatint.2004.04.008,Wong & Yu 2005,greening,tropical_semiarid,fine_tuning,thermal,park,,3.1,degC,measured,1,"1-day mean: large green area vs CBD, p<0.0001",Knight 2021 Additional file 5 (outcome data tables)
B109,10.1016/j.habitatint.2017.07.009,Qiu et al. 2017,greening,subtropical,fine_tuning,thermal,park,,1.4,degC,measured,1,green space vs built reference (m-a),Knight 2021 Additional file 2 (meta-analysis effect sizes)
B110,10.1016/j.jclepro.2020.123306,Srbinovska et al. 2021,greening,mediterranean,validation,air_quality,facade,pm25,25,percent,measured,1,"average vs neighbouring non-green area; green wall, Skopje",primary abstract
B112,10.1016/j.jeem.2017.09.001,Liang_2018,retrofit,mediterranean,fine_tuning,energy,retrofit_program,,8,percent,measured,1,residential buildings: monthly energy -8% (commercial -12%); realized savings 30-50% lower than engineering predictions; fixed-effects panel on 2008-2013 billing data (Energize Phoenix),Semantic Scholar abstract (fetched)
B114,10.1016/j.jenvman.2021.114048,Gu_2022,low_emission_zone,oceanic,fine_tuning,air_quality,lez_zone,pm10,24,percent,measured,1,up to; range 2-17% Berlin and 4-24% Munich depending on site category and LEZ stage (GAM); NO2 not significant or <3%,Delgado-Lindeman 2025 ETRR review Table 7 (10.1186/s12544-025-00749-2)
B115,10.1016/j.jhazmat.2018.11.061,Santos_2019,low_emission_zone,mediterranean,fine_tuning,air_quality,lez_zone,pm10,29,percent,measured,1,"Zone 1 annual average, 2009-2016 (Zone 2: -23%), Lisbon; ANOVA on station data",primary abstract fetched via PubMed
