author_year,title,journal,doi,city,country,outcome,design,source_review
Ahmad_2010,Performance of antisolar insulated roof system,Renewable Energy,10.1016/j.renene.2009.07.022,Islamabad,Pakistan,AC energy saving ~45 kWh/day on 20.8 m2 experimental roof; reduced winter heat loss,experimental roof system monitoring on real building,Rawat & Singh 2022 (10.1016/j.enbenv.2021.03.001)
Bozonnet_2011,Cool roofs impact on building thermal response: A French case study,Energy and Buildings,10.1016/j.enbuild.2011.07.017,Poitiers,France,significantly reduced external roof surface and indoor operative temps in summer,monitored residential building case study,Aggarwal & Molleti 2024 (10.3390/buildings14082257); also in Rawat & Singh 2022
Cao_2015,"Cool Roofs in Guangzhou, China: Outdoor Air Temperature Reductions during Heat Waves and Typical Summer Conditions",Environmental Science & Technology,10.1021/acs.est.5b04886,Guangzhou,China,"measured outdoor air temperature reductions above cool vs conventional roofs, larger during heat waves",paired roof outdoor measurement campaign on real buildings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Miller_2015,Analysis of cool roof coatings for residential demand side management in tropical Australia,Energies,10.3390/en8065303,TBD (tropical Queensland),Australia,reduced cooling demand of monitored residences (demand side management benefit),field monitoring of occupied homes with cool roof coatings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Pisello_2015,Thermal-energy analysis of roof cool clay tiles for application in historic buildings and cities,Sustainable Cities and Society,10.1016/j.scs.2015.03.003,Perugia,Italy,significantly reduced attic temperatures and cooling energy in historic building; CO2 reduction,monitored historic building retrofit with cool clay tiles,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Saber_2021,"Experimental characterization of reflective coating material for cool roofs in hot, humid and dusty climate",Energy and Buildings,10.1016/j.enbuild.2021.110993,TBD,Saudi Arabia,reflective coating maintains high solar reflectivity and cooling benefit when cleaned regularly in dusty climate,field experimental characterization of roof coating,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Levinson_2005,Effects of soiling and cleaning on the reflectance and solar heat gain of a light-colored roofing membrane,Atmospheric Environment,10.1016/j.atmosenv.2005.08.037,"multiple sites, California",USA,quantified reflectance loss from soiling and recovery after cleaning on in-service roof membranes,field measurements on installed roofing membranes,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Levinson_2007,Cooler tile-roofed buildings with near-infrared-reflective non-white coatings,Building and Environment,10.1016/j.buildenv.2006.06.005,TBD,USA,NIR-reflective non-white tile coatings reduced roof and attic temperatures,field demonstration measurements on tile-roofed buildings,Aggarwal & Molleti 2024 (10.3390/buildings14082257)
Park_2022,Effects of a Cool Roof System on the Mitigation of Building Temperature: Empirical Evidence from a Field Experiment,Sustainability,10.3390/su14084843,Seoul,South Korea,"roof surface temp -5.6 C; indoor air -0.56 C (annual average, regression-controlled)","four-season field experiment, conventional vs cool roof with data loggers",found via web search; metadata verified via Crossref
Santamouris_2012a,"Improving the Microclimate in a Dense Urban Area Using Experimental and Theoretical Techniques - The Case of Marousi, Athens",International Journal of Ventilation,10.1080/14733315.2012.11683966,"Marousi, Athens",Greece,16000 m2 reflective pavements (albedo 0.70-0.78); est. near-surface air temp -1.2 to -2.0 C,experimental + theoretical evaluation of large urban repaving,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Santamouris_2012b,Using cool paving materials to improve microclimate of urban areas - Design realization and results of the flisvos project,Building and Environment,10.1016/j.buildenv.2012.01.022,"Flisvos, Athens",Greece,"pavement surface -7.6 C (4500 m2 colored IR-reflective concrete, albedo 0.60)",monitored large-scale park/promenade repaving,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Kyriakodis_2018,Using reflective pavements to mitigate urban heat island in warm climates - results from a large scale urban mitigation project,Urban Climate,10.1016/j.uclim.2017.02.002,Athens,Greece,pavement surface -11 C (37000 m2 reflective asphalt + photocatalytic concrete),monitored large-scale urban mitigation project,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Cheng_2019,Field testing of porous pavement performance on runoff and temperature control in Taipei City,Water,10.3390/w11122635,Taipei,Taiwan,porous pavement surface -6.6 C summer / -0.7 C winter (200 m sidewalk + 200 m bike lane),monitored street-scale installation,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Middel_2020,Solar reflective pavements - A policy panacea to heat mitigation?,Environmental Research Letters,10.1088/1748-9326/ab87d4,Los Angeles,USA,coated pavement surface -6 C (13000 m2; albedo 0.06-0.08 raised to 0.18-0.25),field observations of city cool pavement program,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Yang_2021,A Study on Heat Storage and Dissipation Efficiency at Permeable Road Pavements,Materials,10.3390/ma14123431,Pingtung,Taiwan,heat storage/dissipation of semi- and fully-permeable asphalt on 850 m2 of real road,monitored large-scale permeable pavement application,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Carnielo_2013,Optical and thermal characterisation of cool asphalts to mitigate urban temperatures and building cooling demand,Building and Environment,10.1016/j.buildenv.2012.11.004,Rome,Italy,cool coated asphalt up to -10 C (off-white) vs aged asphalt,20-day outdoor monitoring of 4x4 m coated pavement fields,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Li_2013,The use of reflective and permeable pavements as a potential practice for heat island mitigation and stormwater management,Environmental Research Letters,10.1088/1748-9326/8/1/015023,"Davis, California",USA,permeable pavements up to 10-25 C cooler than impermeable when wet; albedo raised 0.1 to 0.3 cuts surface temp ~12 C,instrumented outdoor pavement test sections with irrigation trials,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Zheng_2015,Comparison and analysis on heat reflective coating for asphalt pavement based on cooling effect and anti-skid performance,Construction and Building Materials,10.1016/j.conbuildmat.2015.04.043,Xi'an,China,heat-reflective coating surface -10 C vs asphalt,"outdoor field sections (2.5-10 m2), summer monitoring",Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Wang_2018,Experimental investigation on the influence of evaporative cooling of permeable pavements on outdoor thermal environment,Building and Environment,10.1016/j.buildenv.2018.05.033,Guangzhou,China,permeable pavement surface up to -10 C after irrigation; multi-height air temp profiles,4-day outdoor field campaign on 4x4 m pavement fields,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Higashiyama_2016,Field measurements of road surface temperature of several asphalt pavements with temperature rise reducing function,Case Studies in Construction Materials,10.1016/j.cscm.2016.01.001,Hyogo,Japan,water-retaining pavements ~10-20 C cooler than conventional porous asphalt (>60 C),field measurements at two real construction sites,Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Synnefa_2011,Experimental testing of cool colored thin layer asphalt and estimation of its potential to improve the urban microclimate,Building and Environment,10.1016/j.buildenv.2010.06.014,Athens,Greece,cool colored asphalt surface up to -12 C vs conventional asphalt,"outdoor field testing of colored asphalt specimens, July campaign",Kousis & Pisello 2023 (10.1016/j.uclim.2023.101470)
Ko_2022,Measuring the impacts of a real-world neighborhood-scale cool pavement deployment on albedo and temperatures in Los Angeles,Environmental Research Letters,10.1088/1748-9326/ac58a8,"Covina, Los Angeles",USA,albedo +0.18 (0.08 to 0.26); max neighborhood surface temp -5 C and air temp -0.2 C; first measured air temp reduction,controlled neighborhood-scale (0.64 km2) field measurement with degradation tracking,cited in Kousis & Pisello 2023 refs; abstract fetched via NSF PAR
Taha_2024,"Micrometeorological effects and thermal-environmental benefits of cool pavements: findings from a detailed observational field study in Pacoima, California",Environmental Research Communications,10.1088/2515-7620/ad2a8e,"Pacoima, Los Angeles",USA,max street-segment air temp -1.9 C (heatwave afternoons); surface up to -9.2 C; mean surface -2.6 C; PET -0.2 to -0.6 C,"multi-platform observational field study, test vs reference street segments + difference-of-differences",found via web search; full record verified via Crossref
Gaffin_2012,Bright is the new black - multi-year performance of high-albedo roofs in an urban climate,Environmental Research Letters,10.1088/1748-9326/7/1/014029,New York,USA,Three monitored white roofs on real buildings: peak rooftop temp reduced ~43F average; professional membranes kept aged albedo >0.50,Multi-year field monitoring of three in-service NYC building roofs (NYC CoolRoofs context),IOPscience full text and NASA GISS pages fetched
Green_2020,Above-roof air temperature effects on HVAC and cool roof performance: Experiments and development of a predictive model,Energy and Buildings,10.1016/j.enbuild.2020.110071,Sydney (region),Australia,Above-roof air averaged +2.53C by day and -1.33C at night vs ambient over three large shopping-centre roofs; ignoring this underestimates cool roof HVAC savings by 44-85%,Field experiments (6 weeks per building) on three in-service large-footprint buildings plus empirical model,ScienceDirect via doi.org
Vellingiri_2020,Combating climate change-induced heat stress: Assessing cool roofs and its impact on the indoor ambient temperature of the households in the urban slums of Ahmedabad,Indian Journal of Occupational and Environmental Medicine,10.4103/ijoem.ijoem_120_19,Ahmedabad,India,"Cool roof interventions (solar reflective white paint on tin, Modroof, Thermocol insulation) significantly reduced indoor ambient temperature vs control households",Intervention vs control household comparison across 16 slum dwellings with continuous data loggers,PMC full text and Ovid journal page fetched
