author_year,title,journal,doi,city,country,outcome,design,source_review
Georgi & Dimitriou 2010,"The contribution of urban green spaces to the improvement of environment in cities: Case study of Chania, Greece",Building and Environment,10.1016/j.buildenv.2009.12.003,Chania,Greece,green space cooling contribution,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Gillner et al. 2015,Role of street trees in mitigating effects of heat and drought at highly sealed urban sites,Landscape and Urban Planning,10.1016/j.landurbplan.2015.06.005,TBD,Germany,street tree species cooling at sealed sites,field measurement of tree species,Knight et al. 2021 Environ Evid (Additional file 7)
Hamada & Ohta 2010,Seasonal variations in the cooling effect of urban green areas on surrounding urban areas,Urban Forestry & Urban Greening,10.1016/j.ufug.2009.10.002,Nagoya,Japan,seasonal cooling of green area on surroundings,transect field measurement,Aram et al. 2019 Heliyon
Jauregui 1991,Influence of a large urban park on temperature and convective precipitation in a tropical city,Energy and Buildings,10.1016/0378-7788(90)90021-a,Mexico City,Mexico,large park (Chapultepec) cooling influence,long-term observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Konarska et al. 2015,Transpiration of urban trees and its cooling effect in a high latitude city,International Journal of Biometeorology,10.1007/s00484-015-1014-x,TBD,Sweden,urban tree transpiration and cooling,field measurement of trees,Knight et al. 2021 Environ Evid (Additional file 7)
"Linden, Fonti & Esper 2016","Temporal variations in microclimate cooling induced by urban trees in Mainz, Germany",Urban Forestry and Urban Greening,10.1016/j.ufug.2016.09.001,Mainz,Germany,tree-induced air temperature cooling,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Mahmoud 2011,Analysis of the microclimatic and human comfort conditions in an urban park in hot and arid regions,Building and Environment,10.1016/j.buildenv.2011.06.025,TBD,Egypt,park microclimate and comfort in hot arid city,in-park field measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
"Oliveira, Andrade & Vaz 2011",The cooling effect of green spaces as a contribution to the mitigation of urban heat: A case study in Lisbon,Building and Environment,10.1016/j.buildenv.2011.04.034,Lisbon,Portugal,small green space cooling effect,paired site comparison,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Qiu et al. 2017,Experimental studies on the effects of green space and evapotranspiration on urban heat island in a subtropical megacity in China,Habitat International,10.1016/j.habitatint.2017.07.009,TBD,China,green space evapotranspiration and UHI reduction,experimental field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Shashua-Bar & Hoffman 2000,Vegetation as a climatic component in the design of an urban street - An empirical model for predicting the cooling effect of urban green areas with trees,Energy and Buildings,TBD,TBD,Israel,street tree cooling effect (empirical model from measurements),field measurement of green sites,Knight et al. 2021 Environ Evid (Additional file 7)
"Shashua-Bar, Pearlmutter & Erell 2009",The cooling efficiency of urban landscape strategies in a hot dry climate,Landscape and Urban Planning,10.1016/j.landurbplan.2009.04.005,TBD,Israel,cooling efficiency of trees/lawn strategies,courtyard field experiment,Knight et al. 2021 Environ Evid (Additional file 7)
Skoulika et al. 2014,"On the thermal characteristics and the mitigation potential of a medium size urban park in Athens, Greece",Landscape and Urban Planning,10.1016/j.landurbplan.2013.11.002,Athens,Greece,park cool island intensity,fixed station measurement,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Spronken-Smith & Oke 1998,The thermal regime of urban parks in two cities with different summer climates,International Journal of Remote Sensing,10.1080/014311698214884,Vancouver; Sacramento,Canada; USA,park cool island thermal regime,traverses + thermal remote sensing,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Sugawara et al. 2016,Thermal influence of a large green space on a hot urban environment,Journal of Environmental Quality,10.2134/jeq2015.01.0049,TBD,Japan,large green space cooling of surroundings,field observation,Knight et al. 2021 Environ Evid (Additional file 7)
"Upmanis, Eliasson & Lindqvist 1998","The influence of green areas on nocturnal temperatures in a high latitude city (Goteborg, Sweden)",International Journal of Climatology,10.1002/(sici)1097-0088(199805)18:6<681::aid-joc289>3.0.co;2-l,Gothenburg,Sweden,park nocturnal cooling and extent beyond boundary,mobile traverses,Knight et al. 2021 Environ Evid (Additional file 7)
Vaz Monteiro et al. 2016,The impact of greenspace size on the extent of local nocturnal air temperature cooling in London,Urban Forestry & Urban Greening,10.1016/j.ufug.2016.02.008,London,UK,greenspace size vs nocturnal cooling extent,station network observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Wong & Yu 2005,Study of green areas and urban heat island in a tropical city,Habitat International,10.1016/j.habitatint.2004.04.008,Singapore,Singapore,green area cooling and UHI pattern,mobile traverse measurement,Aram et al. 2019 Heliyon; also in Knight et al. 2021
"Yan, Wu & Dong 2018",Influence of a large urban park on the local urban thermal environment,Science of the Total Environment,10.1016/j.scitotenv.2017.11.327,TBD,China,large park influence on local thermal environment,station network observation,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
"Zoulia, Santamouris & Dimoudi 2009",Monitoring the effect of urban green areas on the heat island in Athens,Environmental Monitoring and Assessment,10.1007/s10661-008-0483-3,Athens,Greece,green area (National Garden) effect on UHI,urban monitoring network,Knight et al. 2021 Environ Evid (Additional file 7)
Chow & Brazel 2012,Assessing xeriscaping as a sustainable heat island mitigation approach for a desert city,Building and Environment,10.1016/j.buildenv.2011.07.027,Phoenix,USA,landscaping/vegetation effect on heat island,field measurement + scenario analysis,Aram et al. 2019 Heliyon
"Mackey, Lee & Smith 2012",Remotely sensing the cooling effects of city scale efforts to reduce urban heat island,Building and Environment,10.1016/j.buildenv.2011.08.004,Chicago,USA,cooling from implemented city-scale greening/albedo programs,remote sensing observational,Aram et al. 2019 Heliyon
Cao et al. 2010,Quantifying the cool island intensity of urban parks using ASTER and IKONOS data,Landscape and Urban Planning,10.1016/j.landurbplan.2010.03.008,TBD,Japan,park cool island intensity (surface temperature),satellite remote sensing of parks,Aram et al. 2019 Heliyon
"Ca, Asaeda & Abu 1998",Reductions in air conditioning energy caused by a nearby park,Energy and Buildings,10.1016/s0378-7788(98)00032-2,TBD,Japan,park cooling reduced nearby air-conditioning energy,field measurement + energy estimate,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Tsiros 2010,Assessment and energy implications of street air temperature cooling by shade trees in Athens (Greece) under extremely hot weather conditions,Renewable Energy,10.1016/j.renene.2009.12.021,Athens,Greece,street tree cooling and building energy implications,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Xu et al. 2017,"The cooling and energy saving effect of landscape design parameters of urban park in summer: A case of Beijing, China",Energy and Buildings,10.1016/j.enbuild.2017.05.052,Beijing,China,park cooling and energy-saving effect,field measurement of parks,Knight et al. 2021 Environ Evid (Additional file 7); also in Aram et al. 2019
Zhang et al. 2014,"The cooling effect of urban green spaces as a contribution to energy-saving and emission-reduction: a case study in Beijing, China",Building and Environment,10.1016/j.buildenv.2014.03.003,Beijing,China,green space cooling translated to energy saving,observational analysis of green spaces,Aram et al. 2019 Heliyon
Wong et al. 2003,Investigation of thermal benefits of rooftop garden in the tropical environment,Building and Environment,10.1016/s0360-1323(02)00066-5,Singapore,Singapore,rooftop garden surface/air temperature reduction,before/after field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
"Hien, Yok & Yu 2007",Study of thermal performance of extensive rooftop greenery systems in the tropical climate,Building and Environment,10.1016/j.buildenv.2005.07.030,Singapore,Singapore,extensive green roof thermal performance,field monitoring of roof systems,Knight et al. 2021 Environ Evid (Additional file 7)
Jim & Peng 2012,Weather effect on thermal and energy performance of an extensive tropical green roof,Urban Forestry & Urban Greening,10.1016/j.ufug.2011.10.001,Hong Kong,China,green roof thermal/energy performance by weather,instrumented roof monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Speak et al. 2013,Reduction of the urban cooling effects of an intensive green roof due to vegetation damage,Urban Climate,10.1016/j.uclim.2013.01.001,Manchester,UK,intensive green roof air temperature cooling,paired roof measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Heusinger & Weber 2015,Comparative microclimate and dewfall measurements at an urban green roof versus bitumen roof,Building and Environment,10.1016/j.buildenv.2015.06.002,TBD,Germany,green roof vs bitumen roof microclimate,paired roof field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
MacIvor et al. 2016,Air temperature cooling by extensive green roofs in Toronto Canada,Ecological Engineering,10.1016/j.ecoleng.2016.06.050,Toronto,Canada,extensive green roof air temperature cooling,field measurement of roofs,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
Getter et al. 2011,Seasonal heat flux properties of an extensive green roof in a Midwestern U.S. climate,Energy and Buildings,10.1016/j.enbuild.2011.09.018,TBD,USA,green roof heat flux reduction across seasons,instrumented roof monitoring,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
Fioretti et al. 2010,Green roof energy and water related performance in the Mediterranean climate,Building and Environment,10.1016/j.buildenv.2010.03.001,TBD,Italy,green roof energy and runoff performance,building monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Foustalieraki et al. 2017,Energy performance of a medium scale green roof system installed on a commercial building using numerical and experimental data recorded during the cold period of the year,Energy and Buildings,10.1016/j.enbuild.2016.10.056,Athens,Greece,green roof heating-season energy performance,building monitoring + simulation,Knight et al. 2021 Environ Evid (Additional file 7)
"Karachaliou, Santamouris & Pangalou 2016",Experimental and numerical analysis of the energy performance of a large scale intensive green roof system installed on an office building in Athens,Energy and Buildings,10.1016/j.enbuild.2015.04.055,Athens,Greece,intensive green roof building energy performance,building monitoring + simulation,Knight et al. 2021 Environ Evid (Additional file 7)
Santamouris et al. 2007,"Investigating and analysing the energy and environmental performance of an experimental green roof system installed in a nursery school building in Athens, Greece",Energy,10.1016/j.energy.2006.11.011,Athens,Greece,green roof cooling load reduction,building measurement + simulation,Nasr et al. 2024 Energies review (10.3390/en17205160)
Spala et al. 2008,"On the green roof system. Selection, state of the art and energy potential investigation of a system installed in an office building in Athens, Greece",Renewable Energy,10.1016/j.renene.2007.03.022,Athens,Greece,office building green roof energy potential,building measurement,Nasr et al. 2024 Energies review (10.3390/en17205160)
Niachou et al. 2001,Analysis of the green roof thermal properties and investigation of its energy performance,Energy and Buildings,10.1016/s0378-7788(01)00062-7,TBD,Greece,"green roof energy savings (2-44% total, insulation-dependent)",field measurement + simulation,Nasr et al. 2024 Energies review (10.3390/en17205160)
"Lazzarin, Castellotti & Busato 2005",Experimental measurements and numerical modelling of a green roof,Energy and Buildings,10.1016/j.enbuild.2005.02.001,TBD,Italy,green roof heat flux reduction (hospital building),building measurement + model,Nasr et al. 2024 Energies review (10.3390/en17205160)
He et al. 2016,Thermal and energy performance assessment of extensive green roof in summer: A case study of a lightweight building in Shanghai,Energy and Buildings,10.1016/j.enbuild.2016.06.016,Shanghai,China,extensive green roof summer thermal/energy performance,building field measurement,Nasr et al. 2024 Energies review (10.3390/en17205160)
"Bevilacqua, Bruno & Arcuri 2020",Green roofs in a Mediterranean climate: energy performances based on in-situ experimental data,Renewable Energy,10.1016/j.renene.2020.01.085,TBD,Italy,green roof annual cooling energy saving ~35% (non-insulated roof),in-situ monitoring + calibrated simulation,Nasr et al. 2024 Energies review; abstract fetched from publisher
El Bachawati et al. 2016,Real-time temperature monitoring for Traditional gravel ballasted and Extensive green roofs: A Lebanese case study,Energy and Buildings,10.1016/j.enbuild.2016.09.056,TBD,Lebanon,green roof vs gravel roof temperature reduction,paired roof real-time monitoring,Nasr et al. 2024 Energies review (10.3390/en17205160)
Takebayashi & Moriyama 2007,Surface heat budget on green roof and high reflection roof for mitigation of urban heat island,Building and Environment,10.1016/j.buildenv.2006.06.017,TBD,Japan,green roof surface heat budget vs reflective roof,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Solcerova et al. 2017,Do green roofs cool the air?,Building and Environment,10.1016/j.buildenv.2016.10.021,TBD,Netherlands,above-roof air temperature effect of green roofs,field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
"Razzaghmanesh, Beecham & Salemi 2016","The role of green roofs in mitigating Urban Heat Island effects in the metropolitan area of Adelaide, South Australia",Urban Forestry & Urban Greening,10.1016/j.ufug.2015.11.013,Adelaide,Australia,green roof UHI mitigation (temperature),field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Perini et al. 2017,The use of vertical greening systems to reduce the energy demand for air conditioning. Field monitoring in Mediterranean climate,Energy and Buildings,10.1016/j.enbuild.2017.03.036,TBD,Italy,vertical greening reduced AC energy demand,building field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Hoelscher et al. 2016,"Quantifying cooling effects of facade greening: Shading, transpiration and insulation",Energy and Buildings,TBD,TBD,Germany,facade greening wall cooling (shading/transpiration),field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Yin et al. 2017,"Cooling effect of direct green façades during hot summer days: an observational study in Nanjing, China using TIR and 3DPC data",Building and Environment,10.1016/j.buildenv.2017.02.020,Nanjing,China,green facade surface cooling on hot days,thermal infrared observational study,Knight et al. 2021 Environ Evid (Additional file 7); also in Nasr et al. 2024 Energies review
Jänicke et al. 2014,Evaluating the Effects of Façade Greening on Human Bioclimate in a Complex Urban Environment,Advances in Meteorology,10.1155/2015/747259,TBD,Germany,facade greening effect on outdoor bioclimate,field measurement + modelling,Knight et al. 2021 Environ Evid (Additional file 7)
"Susca, Gaffin & Dell'Osso 2011",Positive effects of vegetation: Urban heat island and green roofs,Environmental Pollution,10.1016/j.envpol.2011.03.007,New York,USA,vegetation/green roof temperature monitoring across city sites,multi-site field monitoring,Knight et al. 2021 Environ Evid (Additional file 7)
Peñalvo López et al. 2020,Study of the Improvement on Energy Efficiency for a Building in the Mediterranean Area by the Installation of a Green Roof System,Energies,10.3390/en13051246,TBD,Spain,green roof ~30% cooling and ~15% heating demand reduction,before/after building energy measurement,direct web search (fetched open-access article)
Abhijith & Kumar 2019,Field investigations for evaluating green infrastructure effects on air quality in open-road conditions,Atmospheric Environment,10.1016/j.atmosenv.2018.12.036,TBD,UK,PM concentration reduction behind roadside green infrastructure,open-road field campaign,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Abhijith & Kumar 2020,Quantifying particulate matter reduction and their deposition on the leaves of green infrastructure,Environmental Pollution,10.1016/j.envpol.2020.114884,TBD,UK,PM reduction and leaf deposition at green infrastructure,field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Donateo et al. 2021,"An evaluation of the performance of a green panel in improving air quality, the case study in a street canyon in Modena, Italy",Atmospheric Environment,10.1016/j.atmosenv.2021.118189,Modena,Italy,green panel effect on street canyon air quality,street canyon field campaign,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Gomez-Moreno et al. 2019,Urban vegetation and particle air pollution: experimental campaigns in a traffic hotspot,Environmental Pollution,10.1016/j.envpol.2019.01.016,Madrid,Spain,vegetation effect on particle concentrations at traffic hotspot,experimental field campaigns,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Hagler et al. 2012,Field investigation of roadside vegetative and structural barrier impact on near-road ultrafine particle concentrations under a variety of wind conditions,Science of the Total Environment,10.1016/j.scitotenv.2011.12.002,TBD,USA,roadside vegetation barrier effect on ultrafine particles,near-road field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Lin et al. 2016,The effects of vegetation barriers on near-road ultrafine particle number and carbon monoxide concentrations,Science of the Total Environment,10.1016/j.scitotenv.2016.02.035,TBD,USA,vegetation barrier reduction of UFP and CO near road,near-road field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Ozdemir 2019,Mitigation impact of roadside trees on fine particle pollution,Science of the Total Environment,10.1016/j.scitotenv.2018.12.262,TBD,Turkey,roadside trees effect on fine particle concentrations,roadside field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Qiu et al. 2018,"The reducing effect of green spaces with different vegetation structure on atmospheric particulate matter concentration in BaoJi City, China",Atmosphere,10.3390/atmos9090332,Baoji,China,green space vegetation structure effect on PM concentration,in-situ green space measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Qiu et al. 2019,"Difference of airborne particulate matter concentration in urban space with different green coverage rates in Baoji, China",International Journal of Environmental Research and Public Health,10.3390/ijerph16081465,Baoji,China,PM concentration vs green coverage rate,comparative field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Chen et al. 2016,Experimental examination of effectiveness of vegetation as bio-filter of particulate matters in the urban environment,Environmental Pollution,10.1016/j.envpol.2015.09.006,TBD,China,vegetation bio-filter effect on PM concentrations,experimental field measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Jia et al. 2021,Effects of roadside green infrastructure on particle exposure: a focus on cyclists and pedestrians on pathways between urban roads and vegetative barriers,Atmospheric Pollution Research,10.1016/j.apr.2021.01.017,TBD,China,roadside green infrastructure effect on particle exposure,field exposure measurement,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Tong et al. 2015,Quantifying the effect of vegetation on near-road air quality using brief campaigns,Environmental Pollution,10.1016/j.envpol.2015.02.026,TBD,USA,near-road vegetation effect on air quality,brief field campaigns,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Srbinovska et al. 2021,The effect of small green walls on reduction of particulate matter concentration in open areas,Journal of Cleaner Production,10.1016/j.jclepro.2020.123306,TBD,North Macedonia,small green wall PM concentration reduction,field measurement near green wall,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Yang & Chen 2021,PM2.5 pollutant concentrations in greenspaces of Nanjing are high but can be lowered with environmental planning,International Journal of Environmental Research and Public Health,10.3390/ijerph18189705,Nanjing,China,PM2.5 concentrations in greenspaces vs planning factors,greenspace field monitoring,Vigevani et al. 2024 Atmos Environ X (10.1016/j.aeaoa.2023.100233)
Maher 2013,Impact of roadside tree lines on indoor concentrations of traffic-derived particulate matter,Environmental Science & Technology,10.1021/es404363m,TBD,UK,~50% lower indoor PM behind temporary roadside tree line,before/after intervention measurement,Vigevani et al. 2024 Atmos Environ X (DOI printed in source appeared erroneous; marked TBD)
"Vailshery, Jaganmohan & Nagendra 2013",Effect of street trees on microclimate and air pollution in a tropical city,Urban Forestry & Urban Greening,10.1016/j.ufug.2013.03.002,TBD,India,street tree effects on temperature and air pollution,paired street segment measurement,Vigevani et al. 2024 Atmos Environ X; also in Knight et al. 2021
Setala et al. 2013,Does urban vegetation mitigate air pollution in northern conditions?,Environmental Pollution,10.1016/j.envpol.2012.11.010,TBD,Finland,vegetation vs open site pollutant concentrations,paired site observational,Knight et al. 2021 Environ Evid (Additional file 7)
Yin et al. 2011,"Quantifying air pollution attenuation within urban parks: an experimental approach in Shanghai, China",Environmental Pollution,10.1016/j.envpol.2011.03.009,Shanghai,China,air pollution attenuation within parks,in-park experimental measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Grundstrom & Pleijel 2014,Limited effect of urban tree vegetation on NO2 and O3 concentrations near a traffic route,Environmental Pollution,10.1016/j.envpol.2014.02.026,TBD,Sweden,tree vegetation effect on NO2/O3 near traffic,near-road field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Salmond et al. 2013,The influence of vegetation on the horizontal and vertical distribution of pollutants in a street canyon,Science of the Total Environment,10.1016/j.scitotenv.2012.10.101,TBD,New Zealand,street trees effect on pollutant distribution in canyon,street canyon field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Fantozzi et al. 2015,Spatio-temporal variations of ozone and nitrogen dioxide concentrations under urban trees and in a nearby open area,Urban Climate,10.1016/j.uclim.2015.02.001,TBD,Italy,O3 and NO2 under tree canopy vs open area,paired site field measurement,Knight et al. 2021 Environ Evid (Additional file 7)
"Cohen, Potchter & Schnell 2014","The impact of an urban park on air pollution and noise levels in the Mediterranean city of Tel-Aviv, Israel",Environmental Pollution,10.1016/j.envpol.2014.08.015,Tel Aviv,Israel,park effect on air pollution and noise,in-park vs street measurement,Knight et al. 2021 Environ Evid (Additional file 7)
Peng_Jim_2013,Green-roof effects on neighborhood microclimate and human thermal sensation,Energies,10.3390/en6020598,Hong Kong,China,Green roof effects on neighborhood air temperature and outdoor thermal sensation,field measurement around implemented green roof,found via Crossref bibliographic search; verified title match 0.993
