record_id,doi,study_site,track,subset,intervention,climate_tag,lcz_tag
B023,10.1016/0378-7788(89)90017-0,hood-river-or:Brown_White_Purucker_1989,B,validation,retrofit,,
B024,10.1016/0378-7788(89)90019-4,not-specified:Lee_Englin_1989,B,fine_tuning,retrofit,,
B025,10.1016/0378-7788(90)90021-a,mexico-city:Jauregui 1991,B,fine_tuning,greening,,
B026,10.1016/0378-7788(91)90012-r,multiple:Cohen_Goldman_Harris_1991,B,validation,retrofit,,
B027,10.1016/0378-7788(93)90035-s,colorado-(state):Burch_1993,B,validation,retrofit,,
B028,10.1016/j.apr.2021.01.017,tbd:Jia et al. 2021,B,fine_tuning,greening,,
B029,10.1016/j.apr.2022.101514,london:Hajmohammadi_2022,B,fine_tuning,low_emission_zone,,
B030,10.1016/j.atmosenv.2005.08.037,"multiple-sites,-california:Levinson_2005",B,validation,cool_roof,,
B031,10.1016/j.atmosenv.2008.09.015,stockholm:Johansson_2009,B,validation,low_emission_zone,,
B032,10.1016/j.atmosenv.2011.04.008,milan:Invernizzi_2011,B,validation,low_emission_zone,,
B033,10.1016/j.atmosenv.2011.12.050,london-and-birmingham:Jones_2012,B,validation,low_emission_zone,,
B034,10.1016/j.atmosenv.2013.12.035,amsterdam:Panteliadis_2014,B,validation,low_emission_zone,,
B035,10.1016/j.atmosenv.2015.09.064,lisbon:Ferreira_2015,B,validation,low_emission_zone,,
B036,10.1016/j.atmosenv.2018.12.036,tbd:Abhijith & Kumar 2019,B,fine_tuning,greening,,
B037,10.1016/j.atmosenv.2021.118189,modena:Donateo et al. 2021,B,fine_tuning,greening,,
B038,10.1016/j.atmosenv.2024.120326,madrid:Morillas_2024,B,validation,low_emission_zone,,
B039,10.1016/j.buildenv.2005.07.030,"singapore:Hien, Yok & Yu 2007",B,validation,greening,,
B040,10.1016/j.buildenv.2006.06.005,tbd:Levinson_2007,B,fine_tuning,cool_roof,,
B041,10.1016/j.buildenv.2006.06.017,tbd:Takebayashi & Moriyama 2007,B,fine_tuning,greening,,
B042,10.1016/j.buildenv.2009.12.003,chania:Georgi & Dimitriou 2010,B,fine_tuning,greening,,
B043,10.1016/j.buildenv.2010.03.001,tbd:Fioretti et al. 2010,B,fine_tuning,greening,,
B044,10.1016/j.buildenv.2010.06.014,athens:Synnefa_2011,B,validation,cool_roof,,
B045,10.1016/j.buildenv.2011.04.034,"lisbon:Oliveira, Andrade & Vaz 2011",B,fine_tuning,greening,,
B046,10.1016/j.buildenv.2011.06.025,tbd:Mahmoud 2011,B,validation,greening,,
B047,10.1016/j.buildenv.2011.07.027,phoenix:Chow & Brazel 2012,B,validation,greening,,
B048,10.1016/j.buildenv.2011.08.004,"chicago:Mackey, Lee & Smith 2012",B,fine_tuning,greening,,
B049,10.1016/j.buildenv.2011.08.011,hyderabad:Xu_2012,B,fine_tuning,cool_roof,,
B050,10.1016/j.buildenv.2011.11.020,"tel-aviv:Cohen, Potchter & Matzarakis 2012",B,validation,greening,,
B051,10.1016/j.buildenv.2012.01.022,"flisvos,-athens:Santamouris_2012b",B,fine_tuning,cool_roof,,
B052,10.1016/j.buildenv.2012.11.004,rome:Carnielo_2013,B,fine_tuning,cool_roof,,
B053,10.1016/j.buildenv.2014.03.003,beijing:Zhang et al. 2014,B,fine_tuning,greening,,
B054,10.1016/j.buildenv.2015.06.002,tbd:Heusinger & Weber 2015,B,fine_tuning,greening,,
B055,10.1016/j.buildenv.2016.10.021,tbd:Solcerova et al. 2017,B,fine_tuning,greening,,
B056,10.1016/j.buildenv.2017.02.020,nanjing:Yin et al. 2017,B,fine_tuning,greening,,
B057,10.1016/j.buildenv.2018.05.033,guangzhou:Wang_2018,B,validation,cool_roof,,
B058,10.1016/j.buildenv.2026.114550,seville:Montero-Gutierrez_2026,B,fine_tuning,combined,,
B059,10.1016/j.conbuildmat.2015.04.043,xi'an:Zheng_2015,B,fine_tuning,cool_roof,,
B060,10.1016/j.cscm.2016.01.001,hyogo:Higashiyama_2016,B,fine_tuning,cool_roof,,
B061,10.1016/j.ecoleng.2016.06.050,toronto:MacIvor et al. 2016,B,validation,greening,,
B062,10.1016/j.egypro.2017.07.348,geneva:Khoury_Alameddine_Hollmuller_2017,B,fine_tuning,retrofit,,
B063,10.1016/j.enbuild.2004.11.013,"multiple-sites,-california:Akbari_2005",B,fine_tuning,cool_roof,,
B064,10.1016/j.enbuild.2005.02.001,"tbd:Lazzarin, Castellotti & Busato 2005",B,validation,greening,,
B065,10.1016/j.enbuild.2006.01.007,five-urban-areas:Hong_Oreszczyn_Ridley_2006,B,validation,retrofit,,
B066,10.1016/j.enbuild.2010.05.030,not-specified:Hens_2010,B,validation,retrofit,,
B067,10.1016/j.enbuild.2011.07.011,london:Kolokotroni_2013,B,fine_tuning,cool_roof,,
B068,10.1016/j.enbuild.2011.07.017,poitiers:Bozonnet_2011,B,fine_tuning,cool_roof,,
B069,10.1016/j.enbuild.2011.07.023,"trapani,-sicily:Romeo_2013",B,validation,cool_roof,,
B070,10.1016/j.enbuild.2011.09.011,"iraklion,-crete:Kolokotsa_2012",B,validation,cool_roof,,
B071,10.1016/j.enbuild.2011.09.018,tbd:Getter et al. 2011,B,validation,greening,,
B072,10.1016/j.enbuild.2012.01.044,athens:Synnefa_2012,B,validation,cool_roof,,
B073,10.1016/j.enbuild.2013.10.031,perugia:Pisello_2014,B,validation,cool_roof,,
B074,10.1016/j.enbuild.2015.04.055,"athens:Karachaliou, Santamouris & Pangalou 2016",B,validation,greening,,
B075,10.1016/j.enbuild.2015.06.043,nagpur-and-hyderabad:Garg_2016,B,fine_tuning,cool_roof,,
B076,10.1016/j.enbuild.2015.06.047,tbd:Hoelscher et al. 2016,B,fine_tuning,greening,,
B077,10.1016/j.enbuild.2016.05.020,not-specified:Cali_Osterhage_Streblow_Muller_2016,B,validation,retrofit,,
B078,10.1016/j.enbuild.2016.06.016,shanghai:He et al. 2016,B,validation,greening,,
B079,10.1016/j.enbuild.2016.09.056,tbd:El Bachawati et al. 2016,B,validation,greening,,
B080,10.1016/j.enbuild.2016.10.056,athens:Foustalieraki et al. 2017,B,fine_tuning,greening,,
B081,10.1016/j.enbuild.2017.03.036,tbd:Perini et al. 2017,B,fine_tuning,greening,,
B082,10.1016/j.enbuild.2017.05.052,beijing:Xu et al. 2017,B,fine_tuning,greening,,
B083,10.1016/j.enbuild.2018.07.005,tbd:Kolokotroni_2018,B,fine_tuning,cool_roof,,
B084,10.1016/j.enbuild.2018.10.025,national-(social-housing):vandenBrom_Meijer_Visscher_2019,B,fine_tuning,retrofit,,
B085,10.1016/j.enbuild.2020.110071,sydney-(region):Green_2020,B,fine_tuning,cool_roof,,
B086,10.1016/j.enbuild.2020.110235,national:Cozza_Chambers_Deb_Scartezzini_Schluter_Patel_2020,B,validation,retrofit,,
B087,10.1016/j.enbuild.2021.110993,tbd:Saber_2021,B,validation,cool_roof,,
B088,10.1016/j.enbuild.2021.111299,kobe:Takebayashi_2021,B,validation,combined,,
B089,10.1016/j.energy.2006.11.011,athens:Santamouris et al. 2007,B,fine_tuning,greening,,
B090,10.1016/j.energy.2015.01.092,singapore:Zingre_2015b,B,validation,cool_roof,,
B091,10.1016/j.enpol.2012.11.008,national:Majcen_Itard_Visscher_2013,B,validation,retrofit,,
B092,10.1016/j.enpol.2013.04.004,national-(gb):Hamilton_2013,B,validation,retrofit,,
B093,10.1016/j.enpol.2013.05.037,national-(england):Wyatt_2013,B,fine_tuning,retrofit,,
B094,10.1016/j.enpol.2016.07.015,national:Majcen_Itard_Visscher_2016,B,fine_tuning,retrofit,,
B095,10.1016/j.enpol.2018.03.051,national:Tonn_Rose_Hawkins_2018,B,fine_tuning,retrofit,,
B096,10.1016/j.enpol.2021.112576,national:Coyne_Denny_2021,B,validation,retrofit,,
B097,10.1016/j.envpol.2011.03.007,"new-york:Susca, Gaffin & Dell'Osso 2011",B,fine_tuning,greening,,
B098,10.1016/j.envpol.2011.03.009,shanghai:Yin et al. 2011,B,validation,greening,,
B099,10.1016/j.envpol.2012.11.010,tbd:Setala et al. 2013,B,fine_tuning,greening,,
B100,10.1016/j.envpol.2013.01.002,munich:Qadir_2013,B,validation,low_emission_zone,,
B101,10.1016/j.envpol.2014.02.026,tbd:Grundstrom & Pleijel 2014,B,validation,greening,,
B102,10.1016/j.envpol.2014.08.015,"tel-aviv:Cohen, Potchter & Schnell 2014",B,validation,greening,,
B103,10.1016/j.envpol.2015.02.026,tbd:Tong et al. 2015,B,validation,greening,,
B104,10.1016/j.envpol.2015.09.006,tbd:Chen et al. 2016,B,validation,greening,,
B105,10.1016/j.envpol.2019.01.016,madrid:Gomez-Moreno et al. 2019,B,fine_tuning,greening,,
B106,10.1016/j.envpol.2019.01.040,paris-and-london:Font_2019,B,validation,low_emission_zone,,
B107,10.1016/j.envpol.2020.114884,tbd:Abhijith & Kumar 2020,B,fine_tuning,greening,,
B108,10.1016/j.habitatint.2004.04.008,singapore:Wong & Yu 2005,B,fine_tuning,greening,,
B109,10.1016/j.habitatint.2017.07.009,tbd:Qiu et al. 2017,B,fine_tuning,greening,,
B110,10.1016/j.jclepro.2020.123306,tbd:Srbinovska et al. 2021,B,validation,greening,,
B111,10.1016/j.jeem.2017.02.003,44-lez-cities-vs-38-controls:Gehrsitz_2017,B,validation,low_emission_zone,,
B112,10.1016/j.jeem.2017.09.001,phoenix-az:Liang_2018,B,fine_tuning,retrofit,,
B113,10.1016/j.jeem.2021.102512,multiple-cities:Pestel_Wozny_2021,B,fine_tuning,low_emission_zone,,
B114,10.1016/j.jenvman.2021.114048,berlin-and-munich:Gu_2022,B,fine_tuning,low_emission_zone,,
B115,10.1016/j.jhazmat.2018.11.061,lisbon:Santos_2019,B,fine_tuning,low_emission_zone,,
B116,10.1016/j.jpubeco.2023.105014,multiple-cities:Sarmiento_2023,B,fine_tuning,low_emission_zone,,
B117,10.1016/j.landurbplan.2006.09.005,"taipei:Chang, Li & Chang 2007",B,validation,greening,,
B118,10.1016/j.landurbplan.2009.04.005,sde-boqer-(negev):ShashuaBar_2009,B,validation,combined,,
B119,10.1016/j.landurbplan.2010.03.008,tbd:Cao et al. 2010,B,validation,greening,,
B120,10.1016/j.landurbplan.2013.11.002,athens:Skoulika et al. 2014,B,validation,greening,,
B121,10.1016/j.landurbplan.2013.12.008,"addis-ababa:Feyisa, Dons & Meilby 2014",B,validation,greening,,
B122,10.1016/j.landurbplan.2015.06.005,tbd:Gillner et al. 2015,B,validation,greening,,
B123,10.1016/j.landurbplan.2018.10.022,seoul:Park_2019,B,validation,combined,,
B124,10.1016/j.landurbplan.2024.105206,barcelona:Sanz-Mas_2024,B,fine_tuning,combined,,
B125,10.1016/j.proenv.2017.03.103,athens:Androutsopoulos_2017,B,validation,cool_roof,,
B126,10.1016/j.renene.2007.03.022,athens:Spala et al. 2008,B,validation,greening,,
B127,10.1016/j.renene.2009.07.022,islamabad:Ahmad_2010,B,validation,cool_roof,,
B128,10.1016/j.renene.2009.12.021,athens:Tsiros 2010,B,fine_tuning,greening,,
B129,10.1016/j.renene.2014.09.045,singapore:Zingre_2015a,B,fine_tuning,cool_roof,,
B130,10.1016/j.renene.2020.01.085,"tbd:Bevilacqua, Bruno & Arcuri 2020",B,validation,greening,,
B131,10.1016/j.scitotenv.2011.12.002,tbd:Hagler et al. 2012,B,fine_tuning,greening,,
B132,10.1016/j.scitotenv.2012.06.089,5-cities:Boogaard_2012,B,fine_tuning,low_emission_zone,,
B133,10.1016/j.scitotenv.2012.10.101,tbd:Salmond et al. 2013,B,fine_tuning,greening,,
B134,10.1016/j.scitotenv.2014.06.048,"london:Doick, Peace & Hutchings 2014",B,validation,greening,,
B135,10.1016/j.scitotenv.2016.02.035,tbd:Lin et al. 2016,B,validation,greening,,
B136,10.1016/j.scitotenv.2017.11.327,"tbd:Yan, Wu & Dong 2018",B,validation,greening,,
B137,10.1016/j.scitotenv.2018.12.262,tbd:Ozdemir 2019,B,fine_tuning,greening,,
B138,10.1016/j.scs.2010.12.001,tirana:Fintikakis_2011,B,validation,combined,,
B139,10.1016/j.scs.2015.03.003,perugia:Pisello_2015,B,fine_tuning,cool_roof,,
B140,10.1016/j.scs.2017.11.035,acharnes-(athens):Kolokotsa_2018,B,fine_tuning,combined,,
B141,10.1016/j.tra.2015.04.029,25-cities:Malina_Scheffler_2015,B,fine_tuning,low_emission_zone,,
B142,10.1016/j.trd.2013.03.010,london:Ellison_2013,B,validation,low_emission_zone,,
B143,10.1016/j.trd.2020.102689,madrid:Salas_2021,B,validation,low_emission_zone,,
B144,10.1016/j.uclim.2013.01.001,manchester:Speak et al. 2013,B,validation,greening,,
B145,10.1016/j.uclim.2015.02.001,tbd:Fantozzi et al. 2015,B,fine_tuning,greening,,
B146,10.1016/j.uclim.2016.02.003,paris:Hendel_2016,B,validation,combined,,
B147,10.1016/j.uclim.2017.02.002,athens:Kyriakodis_2018,B,fine_tuning,cool_roof,,
B148,10.1016/j.ufug.2009.10.002,nagoya:Hamada & Ohta 2010,B,validation,greening,,
B149,10.1016/j.ufug.2011.10.001,hong-kong:Jim & Peng 2012,B,validation,greening,,
B150,10.1016/j.ufug.2013.03.002,"tbd:Vailshery, Jaganmohan & Nagendra 2013",B,validation,greening,,
B151,10.1016/j.ufug.2015.11.013,"adelaide:Razzaghmanesh, Beecham & Salemi 2016",B,validation,greening,,
B152,10.1016/j.ufug.2016.02.008,london:Vaz Monteiro et al. 2016,B,validation,greening,,
B153,10.1016/j.ufug.2016.09.001,"mainz:Linden, Fonti & Esper 2016",B,validation,greening,,
B154,10.1016/s0301-4215(00)00023-9,not-specified:Haas_Biermayr_2000,B,fine_tuning,retrofit,,
B155,10.1016/s0360-1323(02)00066-5,singapore:Wong et al. 2003,B,fine_tuning,greening,,
B156,10.1016/s0378-7788(01)00062-7,tbd:Niachou et al. 2001,B,validation,greening,,
B157,10.1016/S0378-7788(96)01000-6,"multiple-sites,-florida:Parker_1997",B,validation,cool_roof,,
B158,10.1016/S0378-7788(96)01001-8,sacramento:Akbari_1997,B,fine_tuning,cool_roof,,
B159,10.1016/s0378-7788(98)00032-2,"tbd:Ca, Asaeda & Abu 1998",B,fine_tuning,greening,,
B160,10.1016/S2468-2667(18)30202-0,london:Mudway_2019,B,validation,low_emission_zone,,
B161,10.1021/acs.est.5b04886,guangzhou:Cao_2015,B,fine_tuning,cool_roof,,
B162,10.1021/es404363m,tbd:Maher 2013,B,fine_tuning,greening,,
B163,10.1038/s41467-023-36972-5,phoenix:Schneider_2023,B,validation,combined,,
B164,10.1038/srep33708,tbd:Edmondson et al. 2016,B,fine_tuning,greening,,
B165,10.1068/a200517,not-specified:Brown_White_1988,B,validation,retrofit,,
B166,10.1080/014311698214884,vancouver;-sacramento:Spronken-Smith & Oke 1998,B,fine_tuning,greening,,
B167,10.1080/09613218.2012.690952,national-(3400-dwellings):SunikkaBlank_Galvin_2012,B,fine_tuning,retrofit,,
B168,10.1080/10962247.2013.868380,cologne/berlin/munich:Cyrys_2014,B,fine_tuning,low_emission_zone,,
B169,10.1080/14733315.2012.11683966,"marousi,-athens:Santamouris_2012a",B,validation,cool_roof,,
B170,10.1080/17512549.2013.865560,rome:Pisello_2013,B,fine_tuning,cool_roof,,
B171,10.1080/17512549.2014.890540,"pantnagar,-uttarakhand:Arumugam_2014",B,validation,cool_roof,,
B172,10.1088/1748-9326/7/1/014029,new-york:Gaffin_2012,B,validation,cool_roof,,
B173,10.1088/1748-9326/8/1/015023,"davis,-california:Li_2013",B,validation,cool_roof,,
B174,10.1088/1748-9326/ab87d4,los-angeles:Middel_2020,B,fine_tuning,cool_roof,,
B175,10.1088/1748-9326/ac30c1,london:Ma_2021,B,fine_tuning,low_emission_zone,,
B176,10.1088/1748-9326/ac58a8,"covina,-los-angeles:Ko_2022",B,fine_tuning,cool_roof,,
B177,10.1088/2515-7620/ad2a8e,"pacoima,-los-angeles:Taha_2024",B,fine_tuning,cool_roof,,
B178,10.1136/oem.2007.036533,london:Tonne_2008,B,validation,low_emission_zone,,
B179,10.1136/oem.2010.063750,rome:Cesaroni_2012,B,fine_tuning,low_emission_zone,,
B180,10.1155/2015/747259,tbd:Jänicke et al. 2014,B,validation,greening,,
B181,10.1162/rest_a_01087,illinois-(state):Christensen_2021,B,fine_tuning,retrofit,,
B182,10.1177/0143624410394518,athens:Gaitani_2011,B,fine_tuning,combined,,
B183,10.1371/journal.pone.0102999,17-cities:Morfeld_2014,B,fine_tuning,low_emission_zone,,
B184,10.1515/noise-2020-0015,monza:Silvaggio_2020,B,validation,low_emission_zone,,
B185,10.2134/jeq2015.01.0049,tbd:Sugawara et al. 2016,B,validation,greening,,
B186,10.2166/wst.2008.187,tokyo-(shiodome):Yamagata_2008,B,validation,combined,,
B187,10.2208/prohe.38.381,nagaoka:Kinouchi_Kanda_1997,B,fine_tuning,combined,,
B188,10.3354/cr006045,los-angeles-(san-gabriel-valley):Grimmond_1996,B,validation,combined,,
B189,10.3368/jhr.56.4.0218-9363r2,stockholm:Simeonova_2021,B,validation,low_emission_zone,,
B190,10.3386/w21331,michigan-(state):Fowlie_Greenstone_Wolfram_2018,B,fine_tuning,retrofit,,
B191,10.3390/app132011451,gimhae:Lee_2023,B,validation,combined,,
B192,10.3390/atmos9090332,baoji:Qiu et al. 2018,B,fine_tuning,greening,,
B193,10.3390/en13051246,tbd:Peñalvo López et al. 2020,B,fine_tuning,greening,,
B194,10.3390/en6020598,hong-kong:Peng_Jim_2013,B,fine_tuning,greening,,
B195,10.3390/en8065303,tbd-(tropical-queensland):Miller_2015,B,fine_tuning,cool_roof,,
B196,10.3390/ijerph110505094,munich:Fensterer_2014,B,fine_tuning,low_emission_zone,,
B197,10.3390/ijerph16081465,baoji:Qiu et al. 2019,B,fine_tuning,greening,,
B198,10.3390/ijerph18189705,nanjing:Yang & Chen 2021,B,fine_tuning,greening,,
B199,10.3390/ma14123431,pingtung:Yang_2021,B,fine_tuning,cool_roof,,
B200,10.3390/smartcities3020025,madrid:Lebrusan_Toutouh_2020,B,validation,low_emission_zone,,
B201,10.3390/su14084843,seoul:Park_2022,B,fine_tuning,cool_roof,,
B202,10.3390/su16229919,"gimhae,-yechun,-geyang,-sangju:Kwon_2024",B,validation,combined,,
B203,10.3390/su9081379,aracaju:Anjos & Lopes 2017,B,fine_tuning,greening,,
B204,10.3390/w11122635,taipei:Cheng_2019,B,validation,cool_roof,,
B205,10.4103/ijoem.ijoem_120_19,ahmedabad:Vellingiri_2020,B,validation,cool_roof,,
B206,10.5547/01956574.37.4.jziv,not-specified:GraffZivin_Novan_2016,B,fine_tuning,retrofit,,
B207,10.5547/issn0195-6574-ej-vol8-no2-7,pacific-northwest-(region):Hirst_1987,B,fine_tuning,retrofit,,
